step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,8.9974260972565,0,0.0,0.6248614377539979,0,0.0,0.6512499701021094,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5798890979347049,0,0.0,0.708471234861134,0,0.0,0.9239828068411287,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6964296374660857,0,0.0,1.0,0,0.0
10.0,1,3.0,0.0967741935483871,9.580870471601255,1,3.0,0.46742878936405075,0,0.0,0.789224624513627,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3611360280986108,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8691255919754657,0,0.0,0.6366548251050185,0,0.0,0.8914494384685238,0,0.0,1.0,0,0.0,0.8511357308403265,0,0.0,0.9222684098757347,0,0.0,0.9231143723952098,0,0.0,1.0,1,3.0
15.0,5,16.0,0.37209302325581395,8.863708772625836,1,8.0,0.5499078563466965,0,0.0,0.7826271641742699,0,0.0,1.0,0,0.0,1.0,1,3.0,0.6695113211018687,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6966642004202355,0,0.0,0.8405642624299873,3,5.0,0.4183005498534622,0,0.0,0.872280785301745,0,0.0,0.9919456159441274,0,0.0,0.9497348043301107,0,0.0,0.3152630530415072,0,0.0,1.0,5,16.0
20.0,16,74.0,1.2758620689655173,7.562684750495114,5,24.0,0.3762192138851258,0,0.0,0.7393066053010585,0,0.0,0.9992300390572768,0,0.0,1.0,3,12.0,0.2348598330525352,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7660970090006016,1,1.0,0.6233974877120552,5,27.0,0.3674696149520795,0,0.0,0.8550250510740772,0,0.0,0.9436573712657338,0,0.0,0.905537602945919,2,10.0,0.29827971581382867,0,0.0,1.0,16,74.0
25.0,23,176.0,2.550724637681159,7.105617890846923,6,51.0,0.3268790694234743,1,3.0,0.6349593535789307,0,0.0,0.9830107301090473,0,0.0,0.951334336770656,4,31.0,0.33854994860748644,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.4958125394905072,2,8.0,0.5470424016468873,6,57.0,0.2850465989642086,0,0.0,0.8964785099186752,0,0.0,0.8040185103943546,0,0.0,0.9805914632982136,3,24.0,0.30659664221986427,0,0.0,0.9598268983277078,23,176.0
30.0,31,315.0,3.7951807228915664,7.134399324542431,8,89.0,0.33755912055395426,2,13.0,0.5201307668222739,0,0.0,1.0,0,0.0,0.9611131674164027,6,55.0,0.3203096754967042,0,0.0,1.0,0,0.0,0.9632729262772425,0,0.0,1.0,1,7.0,0.544892624362367,3,19.0,0.47461108193608376,7,91.0,0.1901675265367115,0,0.0,0.9557352783714255,0,0.0,0.9635922547709714,0,0.0,0.9495892795510155,4,41.0,0.5052689142639799,0,0.0,0.9587296105473602,31,315.0
35.0,36,485.0,5.159574468085107,6.809829933962098,9,132.0,0.25534135897836674,3,27.0,0.3826947253905923,0,0.0,0.9069995741696428,0,0.0,0.9607150334141765,7,86.0,0.3041466391201327,0,0.0,1.0,0,0.0,0.9678607978275588,0,0.0,0.9552060972999177,1,12.0,0.4322703749038139,3,34.0,0.5262438717515417,8,130.0,0.19187473646283354,0,0.0,0.9591648538334778,0,0.0,0.9620483927591336,0,0.0,0.9338526237031118,5,64.0,0.3424959274222631,0,0.0,0.9603283141576335,36,485.0
40.0,44,692.0,6.653846153846154,6.984838053659937,11,187.0,0.2629688715333427,3,42.0,0.38077070207952196,0,0.0,0.9634945448684886,0,0.0,0.9249195646846755,10,129.0,0.27241375622871156,0,0.0,0.9547565108660426,0,0.0,1.0,0,0.0,0.9527378337165315,1,17.0,0.6459941043836313,3,49.0,0.570721658162009,8,170.0,0.23913899564352034,0,0.0,0.9584943226935361,0,0.0,0.9597374213896178,0,0.0,0.9353395572736389,8,98.0,0.31934635198145217,0,0.0,0.9694843500082673,44,692.0
45.0,47,921.0,7.871794871794871,7.093988270188949,11,242.0,0.3136457265287723,3,57.0,0.3516733572215346,0,0.0,0.9273148796890837,0,0.0,0.9536190033075072,12,185.0,0.17333842344701547,0,0.0,0.9574477965569432,0,0.0,0.9719387847971136,0,0.0,0.9498425829045601,1,22.0,0.8002258823049896,3,64.0,0.4714637440381922,9,213.0,0.2914147063601825,0,0.0,0.9525656279099739,0,0.0,0.964534680062582,0,0.0,0.9580074083255443,8,138.0,0.2573038446254378,0,0.0,0.9467970372347065,47,921.0
50.0,53,1174.0,8.696296296296296,6.974805666245171,12,299.0,0.3175728224431878,4,76.0,0.45891728866186665,0,0.0,0.9425054552961257,0,0.0,0.9353195556722518,15,256.0,0.2180544379112846,0,0.0,0.9381679808322557,0,0.0,0.9541928605123735,0,0.0,0.942247939835153,1,27.0,0.7207067282631369,4,80.0,0.3054694829150793,9,258.0,0.3209804233459191,0,0.0,0.9437335800784985,0,0.0,0.9638466979655157,0,0.0,0.9397928458197213,8,178.0,0.23388703224153717,0,0.0,0.9399408958874285,53,1174.0
