step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.798111272013259,0,0.0,0.9865316813957923,0,0.0,1.0,0,0.0,0.9600892803873052,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.139501220394953,0,0.0,0.9568563197931287,0,0.0,0.9568066803263825,0,0.0,0.9574657433917211,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,10.788650050915775,0,0.0,0.9526963726492677,0,0.0,0.9851926649234383,0,0.0,0.773074118674901,0,0.0,1.0,0,0.0
20.0,2,5.0,0.7142857142857143,6.826951036068148,0,0.0,0.04274510751743403,0,0.0,0.9570389512502473,2,5.0,0.4969744790369725,0,0.0,1.0,2,5.0
25.0,3,19.0,1.9,8.589214840713,1,4.0,0.4728606834563091,0,0.0,0.9662083174061792,2,15.0,0.6448954231607783,0,0.0,0.9585528113693517,3,19.0
30.0,3,34.0,3.090909090909091,8.580692414949496,1,9.0,0.5536125423589259,0,0.0,0.987329094993629,2,25.0,0.5239906713626619,0,0.0,0.9840049085446079,3,34.0
35.0,5,54.0,4.5,4.770559659654679,2,17.0,0.338708298512864,0,0.0,1.0,3,37.0,0.07372235757607272,0,0.0,0.9620927613530263,5,54.0
40.0,7,81.0,4.764705882352941,6.0308748786935125,2,21.0,0.5067072934930189,0,0.0,0.9607416718802435,5,60.0,0.15970419587879928,0,0.0,0.9636148152850977,7,81.0
45.0,7,116.0,5.523809523809524,7.203439003570065,2,31.0,0.5318519756430853,0,0.0,0.9234483874132184,5,87.0,0.3437963257353891,0,0.0,1.0,7,118.0
50.0,10,160.0,7.619047619047619,5.116632087644784,3,46.0,0.3975439975130623,0,0.0,0.9154790010591801,7,114.0,0.0008230419407539811,0,0.0,0.9856017668658701,10,160.0
55.0,13,218.0,9.909090909090908,4.637745354645461,6,69.0,0.2246952196877432,0,0.0,0.9535152243753731,7,149.0,0.12355738788622171,0,0.0,0.889899689511678,13,218.0
60.0,14,288.0,13.090909090909092,3.9617001097474116,7,104.0,0.07618112335012113,0,0.0,1.0,7,184.0,0.21862579829594653,0,0.0,0.9020147196906872,14,288.0
65.0,16,362.0,16.454545454545453,2.400678996414395,9,143.0,0.09642910908686132,0,0.0,1.0,7,219.0,0.028374959194454968,0,0.0,0.9154790010591801,16,362.0
70.0,17,446.0,17.84,3.7872253259915523,9,188.0,0.21381027622136217,0,0.0,1.0,8,258.0,0.0,0,0.0,1.0,17,446.0
75.0,18,533.0,22.208333333333332,2.9828618278149577,10,235.0,0.06829130754215587,0,0.0,0.925107155321526,8,298.0,0.07730879503705305,0,0.0,1.0,18,533.0
80.0,18,623.0,25.958333333333332,3.3792179593714025,10,285.0,0.0,0,0.0,0.9187861187335363,8,338.0,0.25326529953480004,0,0.0,1.0,18,623.0
85.0,18,713.0,27.423076923076923,3.5755936261499985,10,335.0,0.27077360097881453,0,0.0,1.0,8,378.0,0.1290440160510093,0,0.0,0.9377827654579507,18,713.0
90.0,16,640.0,22.857142857142858,4.415123190819626,7,313.0,0.390504757581537,0,0.0,1.0,9,421.0,5.9566417815745345e-06,0,0.0,0.9566076830615139,16,734.0
95.0,12,520.0,17.333333333333332,4.937643907124157,3,240.0,0.32438334120605933,0,2.0,0.9353577168691783,9,466.0,0.0990626674787068,0,0.0,1.0,12,708.0
100.0,10,514.0,17.724137931034484,3.575166257784715,1,250.0,0.2694628227669632,0,2.0,0.8682956864763275,9,511.0,0.016605210332174235,0,0.0,1.0,10,763.0
105.0,15,581.0,19.366666666666667,3.351473073854163,4,264.0,0.22497846129525784,1,4.0,0.49537905162074963,10,562.0,0.21799422416725703,0,0.0,1.0,15,830.0
110.0,20,673.0,20.393939393939394,3.3664772977235633,7,295.0,0.16125221541302903,3,16.0,0.3684040471761657,10,612.0,0.2883434230859006,0,0.0,1.0,20,923.0
115.0,24,786.0,21.243243243243242,3.1836374020397944,11,343.0,0.11430351932674264,3,31.0,0.3284034702376738,10,660.0,0.2430574001173465,0,0.0,1.0,24,1034.0
120.0,27,912.0,23.384615384615383,2.8344683881810933,13,405.0,0.17074701732337502,3,46.0,0.2846957348870557,11,711.0,0.10172255556559667,0,0.0,1.0,27,1162.0
125.0,30,1055.0,27.05128205128205,2.306451272033187,13,470.0,0.10631658300437956,3,61.0,0.0,14,774.0,0.0011578337894390764,0,2.0,0.9724576632560499,30,1307.0
130.0,30,1194.0,29.85,2.4425038241815353,15,542.0,0.14004570070704025,3,76.0,0.0,12,836.0,0.08718200497796004,0,2.0,0.9437885113352508,30,1456.0
135.0,31,1346.0,32.04761904761905,2.6960025430392003,16,619.0,0.009869805595287905,3,91.0,0.39147004709409805,12,886.0,0.07508805281065437,0,0.0,0.8439504391152327,31,1596.0
140.0,31,1494.0,34.74418604651163,2.900812352068685,16,693.0,0.010424804306107241,3,106.0,0.3075147133324141,12,946.0,0.07405773689807646,0,0.0,1.0,31,1745.0
145.0,33,1652.0,36.71111111111111,2.2071791110628003,17,773.0,0.005287941715432192,4,123.0,0.16416868990960085,12,1008.0,0.11998551909301051,0,0.0,1.0,33,1904.0
150.0,34,1701.0,41.48780487804878,1.535817571394162,19,866.0,6.523842114724776e-05,2,96.0,0.267007309845913,13,1073.0,0.1135710356288295,0,0.0,1.0,34,2035.0
155.0,34,1871.0,45.63414634146341,1.5305789666084941,19,961.0,0.0,2,22.0,0.009229553124933126,13,1136.0,0.08300338946357005,0,0.0,1.0,34,2119.0
160.0,33,2010.0,49.02439024390244,1.7247218075347144,19,1056.0,0.0,0,17.0,0.09715702553721137,14,1202.0,0.00027716817131796903,0,0.0,1.0,33,2275.0
165.0,33,2175.0,53.048780487804876,2.5651591478041356,19,1151.0,0.08685130557956863,0,0.0,1.0,14,1272.0,0.0,0,2.0,0.9144962424307559,33,2425.0
170.0,33,2340.0,61.578947368421055,1.8524521525749176,19,1246.0,0.08611715561617055,0,0.0,1.0,14,1342.0,0.0,0,2.0,0.9441769931874496,33,2590.0
175.0,33,2505.0,62.625,2.385500527262059,19,1341.0,0.049163665197151936,0,0.0,1.0,14,1412.0,0.15498745090230584,0,0.0,0.890333861573687,33,2753.0
180.0,31,2430.0,60.75,2.3558933674224654,16,1310.0,0.069683163641544,0,0.0,1.0,15,1484.0,0.10246110173709495,0,0.0,1.0,31,2794.0
185.0,27,2194.0,53.51219512195122,3.053983054573886,12,1144.0,0.0801602331753827,0,2.0,0.9055624232179027,15,1559.0,0.04701905595694905,0,0.0,1.0,27,2705.0
190.0,25,2022.0,47.02325581395349,3.270240557267585,9,1190.0,0.13121216333153887,0,2.0,0.9146745370370386,16,1635.0,0.04622470030315812,0,0.0,1.0,25,2827.0
195.0,23,1835.0,41.70454545454545,2.9126659849517647,6,1225.0,0.18031496596804303,0,0.0,0.6816246314573092,17,1720.0,0.05746791542374812,0,0.0,1.0,23,2945.0
200.0,27,1859.0,43.23255813953488,1.80642391814279,8,1258.0,0.16915632282601234,1,1.0,0.15275687732282736,18,1809.0,0.051274858511560585,0,0.0,1.0,27,3068.0
205.0,31,2007.0,44.6,2.1258211794618043,11,1307.0,0.03653217714291792,2,10.0,0.00034444120422857114,18,1897.0,0.050794927992844505,0,2.0,0.9262622039269662,31,3216.0
210.0,33,2153.0,47.84444444444444,2.199324745896389,15,1373.0,0.007501017619700661,0,7.0,0.25478464664863776,18,1987.0,0.09106742661312572,0,2.0,0.9708727131172408,33,3369.0
215.0,37,2324.0,49.4468085106383,2.2864804468370674,18,1455.0,0.048806819646649124,0,0.0,1.0,19,2079.0,0.0746723754805827,0,0.0,0.9436790620786222,37,3534.0
220.0,38,2514.0,52.375,2.3975520072589354,19,1550.0,0.09457097687207361,0,0.0,0.9630923826640112,19,2174.0,0.015531159785788822,0,0.0,1.0,38,3724.0
225.0,38,2704.0,58.78260869565217,2.1816346879307864,19,1645.0,0.047785864086304364,0,0.0,0.9548415913881064,19,2269.0,0.0,0,0.0,1.0,38,3914.0
230.0,32,2150.0,45.744680851063826,2.629392028970344,16,1579.0,0.04091086662361465,0,0.0,0.8541214110745841,16,2148.0,0.07161081073214007,0,0.0,0.9862364923408858,32,3727.0
235.0,24,1180.0,25.652173913043477,3.7840832952644567,12,1356.0,0.0825141444824002,1,4.0,0.7015875701627473,11,1807.0,0.13653384453274348,0,2.0,0.9381916844306406,24,3169.0
240.0,16,617.0,13.127659574468085,4.2074064490437,8,1269.0,0.1541891260267762,0,2.0,0.5849767448120756,8,1655.0,0.11551626170244629,0,2.0,0.8978801296156087,16,2928.0
245.0,16,237.0,4.74,4.2199310728936625,7,1307.0,0.16024605279303133,1,3.0,0.6001114442215996,7,1692.0,0.11353500596492272,1,5.0,0.49931853888133704,16,3007.0
250.0,19,104.0,2.0,3.6943436126516804,7,1325.0,0.18574245875745068,2,10.0,0.4280962184186632,7,1722.0,0.11129203684821418,3,16.0,0.44081603165910305,19,3073.0
255.0,28,229.0,4.089285714285714,3.3183837990478797,10,1368.0,0.11028295305017381,4,29.0,0.44083442861932115,10,1767.0,0.17174781880447132,4,34.0,0.3764049917479899,28,3198.0
260.0,33,383.0,6.383333333333334,3.333954454401133,13,1427.0,0.07015042792005727,4,49.0,0.40907499611709275,12,1822.0,0.1357569726188207,4,54.0,0.33199667657173215,33,3352.0
265.0,41,573.0,9.39344262295082,2.598998518625275,17,1506.0,0.05031215436544214,4,69.0,0.2214560021578108,16,1892.0,0.050426815716390065,4,74.0,0.4154778335327851,41,3541.0
270.0,49,805.0,13.19672131147541,2.224948672642928,19,1600.0,0.028096335861050065,7,99.0,0.09599986717967336,19,1980.0,0.0002073122992197343,4,94.0,0.3292194185782578,49,3773.0
275.0,47,931.0,16.051724137931036,1.170210838329934,20,1697.0,3.429080480088432e-05,5,123.0,0.048766697923233564,16,1842.0,0.01861147509552043,6,119.0,0.0018945828387525675,47,3781.0
280.0,41,994.0,17.137931034482758,2.5438817674987955,19,1790.0,4.2696541272258475e-07,4,131.0,0.259054580028572,11,1474.0,0.07796365813473141,7,158.0,0.37996919400944473,41,3553.0
285.0,35,1047.0,18.36842105263158,2.8956151551038545,19,1885.0,0.08581196771185336,4,149.0,0.19129596681843036,8,1321.0,0.15783610799973644,4,177.0,0.4397569796365746,35,3532.0
290.0,35,1121.0,19.32758620689655,2.531386864364674,19,1980.0,0.122439549946678,4,169.0,0.1951837946756673,6,1353.0,0.15834528522234853,6,181.0,0.12001370801841796,35,3683.0
295.0,34,1202.0,20.372881355932204,3.047525377870631,19,2075.0,0.14134144628226575,4,189.0,0.0,3,1188.0,0.13168551020436278,8,218.0,0.1758329467445214,34,3670.0
300.0,33,1354.0,21.838709677419356,3.2993947074221044,19,2170.0,0.1295319316267467,4,209.0,0.1880302791925651,2,877.0,0.14243779100387394,8,260.0,0.246596222192474,33,3516.0
305.0,33,1505.0,24.672131147540984,2.7274776665370037,19,2265.0,0.1282564862377693,4,229.0,0.18422354047950104,2,876.0,0.23128053184491884,8,300.0,0.10633863846080711,33,3670.0
310.0,38,1681.0,28.016666666666666,2.330346037600994,19,2360.0,0.04819981420171301,4,249.0,0.0,4,889.0,0.25721005968958793,11,350.0,0.08253713733078792,38,3848.0
315.0,35,1455.0,24.25,2.5173000723456536,16,2265.0,0.08272339839967514,1,193.0,0.11936204358926543,7,918.0,0.22802176687047257,11,405.0,0.07976477721991274,35,3781.0
320.0,33,1208.0,19.80327868852459,3.32032198685103,12,1787.0,0.1408544994260378,0,66.0,0.7937103910586185,10,963.0,0.12104796451704829,11,460.0,0.031808552545939665,33,3276.0
325.0,34,1105.0,17.822580645161292,3.195439503401069,8,1830.0,0.16458118025406412,0,2.0,0.859425857339805,14,1028.0,0.01177234027241867,12,519.0,0.0,34,3379.0
330.0,34,1002.0,16.7,2.8005836142515195,6,1860.0,0.10777452204856873,0,2.0,0.5345923995918129,17,1110.0,0.08523257242010145,11,570.0,0.0,34,3542.0
335.0,40,990.0,17.678571428571427,1.9745508143127632,7,1889.0,0.10391161282321706,3,10.0,0.32324048644132186,19,1204.0,0.12190306942697647,11,625.0,0.0,40,3728.0
340.0,40,920.0,15.081967213114755,1.9806442696266766,9,1931.0,0.1855223960676888,4,30.0,0.16020733761089936,19,1297.0,0.049359133950793645,8,579.0,0.02809686923225655,40,3837.0
345.0,37,700.0,11.290322580645162,2.525723614776948,13,1990.0,0.18229437933325637,4,50.0,0.17790311100275516,17,1201.0,0.009659069680961179,3,421.0,0.14192509828225058,37,3662.0
350.0,32,574.0,8.696969696969697,3.707064855672403,15,2062.0,0.2005127716003928,4,70.0,0.191960621310982,12,959.0,0.1170555731513086,1,432.0,0.36931956738507865,32,3523.0
355.0,32,534.0,8.476190476190476,3.045635010140232,19,2150.0,0.14805012544621168,1,61.0,0.2493462071643905,8,999.0,0.2145221708698479,4,448.0,0.23589830878501547,32,3658.0
360.0,36,549.0,8.578125,3.0654290418603383,20,2247.0,0.1402479320794533,1,1.0,0.0011274633190291082,8,1035.0,0.19903294512016562,7,476.0,0.021755152031158034,36,3759.0
365.0,41,641.0,9.567164179104477,3.186919854259772,22,2352.0,0.09241218901631322,0,0.0,0.98617488004737,8,1069.0,0.1481386369009898,11,525.0,0.0003711184812764043,41,3946.0
