step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.016159,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.77318313150575,0,0.0,0.8871679440634208,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.03044834861231,0,0.0,0.9226257261922797,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.868358533316233,0,0.0,0.5335893620381856,0,0.0,0.9218111808096977,0,0.0,0.9530640519772381,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,11.348334089325174,0,0.0,0.8774688991789436,0,0.0,1.0,0,0.0,0.8373013244288671,0,0.0,1.0,0,0.0
30.0,1,2.0,0.3333333333333333,10.221582339106437,0,0.0,0.9525547990002772,0,0.0,1.0,1,2.0,0.6496543357786722,0,0.0,0.9566606292088643,1,2.0
35.0,1,7.0,1.0,9.042653904589235,0,0.0,0.9316774152749636,0,0.0,1.0,1,7.0,0.6389664881981136,0,0.0,0.33053685598077187,1,7.0
40.0,2,15.0,1.875,6.559016796530319,0,0.0,0.9388858503518898,0,0.0,0.9692854203531703,1,12.0,0.2212673689497986,1,3.0,2.5333669245659443e-05,2,15.0
45.0,3,23.0,2.090909090909091,6.148663282941526,0,0.0,0.7003571609472862,0,0.0,0.9272086188977614,3,23.0,0.19366641658480543,0,0.0,1.0,3,23.0
50.0,5,46.0,2.875,8.58333095232432,1,3.0,0.7739122836634813,0,0.0,0.8377699616706018,4,43.0,0.39886457912144463,0,0.0,0.9931449774875696,5,46.0
