step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
90.0,15,571.0,22.84,3.6544632250930267,0,0.0,1.0,2,106.0,0.0,0,0.0,0.951704550288963,2,95.0,0.1280869312854108,8,275.0,0.08316684368617681,3,98.0,0.5052432102592708,0,0.0,1.0,0,0.0,0.8210474281327985,0,0.0,1.0,15,574.0
95.0,18,655.0,26.2,2.080903200664151,0,0.0,0.8430196829501948,2,116.0,0.0,0,0.0,0.5868853819498512,3,108.0,3.3650380667210107e-05,9,319.0,2.871599929409924e-06,4,115.0,0.11428869298892348,0,0.0,1.0,0,0.0,0.7141121152106783,0,0.0,1.0,18,658.0
100.0,19,749.0,27.74074074074074,2.4060565840552726,0,0.0,0.293858089905901,2,126.0,0.18590234084727567,0,0.0,1.0,3,123.0,0.0,9,364.0,0.09154619131393762,5,139.0,0.13789712383391342,0,0.0,0.9717101901450984,0,0.0,0.8767452738178371,0,0.0,1.0,19,752.0
105.0,21,851.0,30.392857142857142,1.8441414393719988,0,0.0,0.6053890551655268,2,136.0,0.38696817351480556,0,0.0,1.0,3,138.0,0.0,9,409.0,0.0,6,169.0,1.3079694191288542e-06,0,0.0,1.0,1,2.0,0.001032824709606806,0,0.0,0.6392014935471045,21,854.0
110.0,21,956.0,31.866666666666667,3.6319880709782693,0,0.0,0.943219314732207,2,146.0,0.42576755855152465,0,0.0,1.0,3,153.0,0.2031628716632524,9,454.0,0.08972483055443596,6,199.0,0.0,0,0.0,1.0,1,7.0,0.4663954415196983,0,0.0,0.9487049220365362,21,959.0
115.0,21,1061.0,33.15625,2.950779075330611,0,0.0,0.5376451928250908,2,156.0,0.13902715016853504,0,0.0,0.9090268599740635,3,168.0,0.2714779074399616,9,499.0,0.08003407233756032,6,229.0,0.0754745315862322,0,0.0,1.0,1,12.0,0.20750686658847922,0,0.0,0.7328108152308689,21,1064.0
120.0,22,1169.0,36.53125,3.332867204441717,0,0.0,1.0,2,166.0,0.3005932691898882,0,0.0,1.0,3,183.0,0.3881661741320998,9,544.0,0.0832402668969867,6,259.0,0.2067684947894663,0,0.0,0.5889434720235786,2,20.0,0.00017163863404074997,0,0.0,0.969502672381472,22,1172.0
125.0,23,1282.0,36.628571428571426,2.5815782625191543,0,0.0,1.0,2,176.0,0.0,0,0.0,0.6804868642038819,4,201.0,0.07148438342910955,9,589.0,0.002415599482398871,6,289.0,0.2628753964207725,0,0.0,0.7870374139204734,2,30.0,0.28171220286851567,0,0.0,1.0,23,1285.0
130.0,26,1408.0,39.111111111111114,2.6961822785511087,0,0.0,0.5947406213788992,2,186.0,0.0,0,0.0,0.9466349742169307,5,225.0,1.9478219981136267e-06,10,639.0,0.13334482675290718,6,319.0,0.19051212931815903,0,0.0,0.7384701122967888,3,42.0,0.13765990654517898,0,0.0,1.0,26,1411.0
135.0,26,1538.0,42.72222222222222,2.451768080214752,0,0.0,0.5915523835643657,2,196.0,0.1940455159868438,0,0.0,0.2210206233960024,5,250.0,0.0,10,689.0,0.1420158643848572,6,349.0,0.058061719009459646,0,0.0,1.0,3,57.0,0.30489845236938645,0,0.0,1.0,26,1541.0
140.0,26,1668.0,46.333333333333336,3.3571192688693157,0,0.0,0.8555181757228529,2,206.0,0.41308848107968843,0,0.0,0.899910098734045,5,275.0,0.12520118056805082,10,739.0,0.0,6,379.0,0.13562923384429396,0,0.0,1.0,3,72.0,0.2287164015879283,0,0.0,1.0,26,1671.0
145.0,27,1800.0,50.0,1.71367324271869,0,0.0,1.0,2,216.0,0.0,0,0.0,1.0,6,302.0,0.06683017031936321,10,789.0,0.09578502142544763,6,409.0,0.0,0,0.0,1.0,3,87.0,0.16020585468385407,0,0.0,0.9515201279926871,27,1803.0
150.0,29,1943.0,51.13157894736842,2.1409500943079927,0,0.0,1.0,2,226.0,0.3194773180624521,0,0.0,1.0,7,336.0,0.26130776753980545,11,843.0,0.016256718970790264,6,439.0,0.0,0,0.0,1.0,3,102.0,0.25269389915046314,0,0.0,0.5674676783869029,29,1946.0
155.0,31,2096.0,55.1578947368421,1.7759714058699605,0,0.0,1.0,2,236.0,0.3211242897103061,0,0.0,1.0,7,371.0,0.09258131838531468,13,906.0,0.03485567643890593,6,469.0,0.10772792180330702,0,0.0,1.0,3,117.0,0.22788610813895527,0,0.0,0.6127089986472499,31,2099.0
160.0,31,2251.0,56.275,2.2200057687765766,0,0.0,0.606984736284243,2,246.0,0.0,0,0.0,0.9842222684122132,7,406.0,0.0,13,971.0,0.0649079875193392,6,499.0,0.06946906591385622,0,0.0,0.9412363130051491,3,132.0,0.0,0,0.0,0.9299956757230042,31,2254.0
165.0,32,2411.0,60.275,2.2744743467673976,0,0.0,0.9734136075643138,2,256.0,0.31063558931885,0,0.0,0.8955905293233322,7,441.0,0.0,14,1041.0,0.06345066658870063,6,529.0,0.17525267008602116,0,0.0,0.9488400221656187,3,147.0,0.1309821958770596,0,0.0,1.0,32,2414.0
170.0,33,2574.0,62.78048780487805,1.475378237786981,0,0.0,1.0,2,266.0,0.2339082372884032,0,0.0,1.0,7,476.0,0.06753577151875224,14,1111.0,0.04327564593996912,7,562.0,0.028196855763850955,0,0.0,1.0,3,162.0,0.24507926747595998,0,0.0,0.9261163111372845,33,2577.0
175.0,35,2747.0,68.675,0.9146600434853684,0,0.0,1.0,3,279.0,0.00019327731873237063,0,0.0,1.0,7,511.0,0.11949850457790669,15,1186.0,0.03339623786880944,7,597.0,0.05038403730375083,0,0.0,1.0,3,177.0,0.0,0,0.0,0.7882656792090432,35,2750.0
180.0,37,2929.0,69.73809523809524,1.2508631921730535,0,0.0,0.935736221112181,3,294.0,0.0,0,0.0,0.347897368450457,7,546.0,0.0,16,1263.0,0.03820470010820661,8,637.0,0.10064134234596443,0,0.0,1.0,3,192.0,0.0,0,0.0,0.979870528878628,37,2932.0
185.0,37,3114.0,70.77272727272727,1.5090565322046459,0,0.0,1.0,3,309.0,0.08401129631294943,0,0.0,0.9624780371872954,7,581.0,0.0,16,1343.0,0.050212339533408534,8,677.0,0.08042939235282515,0,0.0,1.0,3,207.0,0.25381467201537,0,0.0,1.0,37,3117.0
190.0,37,3299.0,71.71739130434783,2.019980023940272,0,0.0,1.0,3,324.0,0.4666153561823136,0,0.0,0.6925020917020505,7,616.0,0.0,16,1423.0,0.0,8,717.0,0.1062397560152538,0,0.0,1.0,3,222.0,0.33411733053945575,0,0.0,1.0,37,3302.0
195.0,37,3484.0,74.12765957446808,1.6846370523656458,0,0.0,1.0,3,339.0,0.40559694115387307,0,0.0,0.9490226798326941,7,651.0,0.0,16,1503.0,0.03213512985271024,8,757.0,0.0,0,0.0,1.0,3,237.0,0.0,0,0.0,0.5335047355298385,37,3487.0
200.0,39,3673.0,74.95918367346938,1.783847574987814,0,0.0,0.7781350321812168,4,356.0,0.12916294108753715,0,0.0,0.5786443875784163,7,686.0,0.0,17,1585.0,0.00021441487985871704,8,797.0,0.0,0,0.0,0.725395117279847,3,252.0,0.0,0,0.0,0.8154494576265322,39,3676.0
205.0,39,3868.0,75.84313725490196,1.8696936946795855,0,0.0,0.6262347856362369,4,376.0,0.0,0,0.0,0.7354592388571768,7,721.0,0.07860189965882873,17,1670.0,1.1646363397484995e-06,8,837.0,0.13739259683541594,0,0.0,0.5399727793924812,3,267.0,0.0,0,0.0,0.6163834737554982,39,3871.0
210.0,39,4063.0,78.13461538461539,2.2755920925727904,0,0.0,1.0,4,396.0,0.15221957023224428,0,0.0,0.8413832875694391,7,756.0,0.23935833977581286,17,1755.0,5.118605210815735e-07,8,877.0,0.1634076609898518,0,0.0,1.0,3,282.0,0.3479565354046953,0,0.0,1.0,39,4066.0
215.0,39,4258.0,81.88461538461539,2.2889161529599864,0,0.0,1.0,4,416.0,0.13297529494700056,0,0.0,0.6226570162083317,7,791.0,0.20785586456954827,17,1840.0,0.042038724620938085,8,917.0,0.18783643176648437,0,0.0,0.9328634529819266,3,297.0,0.27432597876717835,0,0.0,0.5647024312612141,39,4261.0
220.0,40,4458.0,84.11320754716981,2.171622386961706,0,0.0,0.38330400892629696,4,436.0,0.038816645066261944,0,0.0,1.0,8,831.0,0.08303210942605939,17,1925.0,0.03781257165801356,8,957.0,0.21463350933735148,0,2.0,0.7126209004816969,3,312.0,0.0,0,0.0,0.8775105006085929,40,4463.0
225.0,41,4659.0,87.90566037735849,2.472859670539271,0,0.0,0.9459704247551604,4,456.0,0.18212482174365824,0,0.0,1.0,8,871.0,0.0,17,2010.0,0.11335232520512303,9,998.0,0.09747820259656528,0,2.0,0.8822601037009793,3,327.0,0.2083232366357221,0,0.0,0.9378900840716103,41,4664.0
230.0,43,4867.0,91.83018867924528,1.4527373701577733,0,0.0,1.0,5,478.0,0.09688617155445232,0,0.0,1.0,8,911.0,0.06587234938878934,18,2096.0,0.050891217904553525,9,1043.0,0.0019847916873908223,0,0.0,1.0,3,342.0,0.4687977925370858,0,0.0,0.46741108000255127,43,4870.0
235.0,44,5087.0,94.20370370370371,1.0977183335669987,0,0.0,0.9654285752735237,5,503.0,0.00665695160417967,0,0.0,1.0,8,951.0,0.18457405173449626,18,2186.0,0.001480386091521468,10,1093.0,0.0,0,0.0,1.0,3,357.0,0.2008897090800632,0,0.0,1.0,44,5090.0
240.0,47,5319.0,98.5,0.9359160909956195,0,0.0,0.9613375236543898,6,532.0,0.11152970224166704,0,0.0,1.0,8,991.0,0.0037182269937255283,18,2276.0,0.043213036773087556,10,1143.0,0.0,0,0.0,1.0,5,380.0,0.10548111101723098,0,0.0,1.0,47,5322.0
245.0,50,5562.0,99.32142857142857,1.1236147154380955,0,0.0,0.8777972710884557,6,562.0,0.24118423299006034,0,0.0,1.0,9,1035.0,0.1419253887138803,18,2366.0,0.0,10,1193.0,0.0,0,0.0,1.0,7,409.0,0.0005115901098258356,0,0.0,1.0,50,5565.0
250.0,50,5812.0,101.96491228070175,1.2986248442138193,0,0.0,1.0,6,592.0,0.21888300007287786,0,0.0,1.0,9,1080.0,0.0968495460838192,18,2456.0,0.0,10,1243.0,0.0,0,0.0,0.8642025885144359,7,444.0,0.10688869604475584,0,0.0,1.0,50,5815.0
255.0,51,6063.0,104.53448275862068,1.335591995555471,0,0.0,0.9280767389164699,6,622.0,0.2988985631490646,0,0.0,1.0,9,1125.0,0.0,18,2546.0,0.0,10,1293.0,0.0,0,0.0,0.7611507292905144,8,480.0,0.0005352695398406392,0,0.0,1.0,51,6066.0
260.0,51,6318.0,105.3,1.296842076070242,0,0.0,0.917117221796922,6,652.0,0.09262104818773008,0,0.0,0.5936090414392217,9,1170.0,0.12664087048549402,18,2636.0,0.0,10,1343.0,0.0722806150383458,0,0.0,0.46291735053275374,8,520.0,0.04542938148705249,0,0.0,1.0,51,6321.0
265.0,52,6575.0,109.58333333333333,1.11828611615455,0,0.0,0.7525526894778223,6,682.0,0.0,0,0.0,0.5701596018407126,10,1217.0,0.04393327826998901,18,2726.0,0.0,10,1393.0,0.0,0,0.0,1.0,8,560.0,0.1517532826833242,0,0.0,1.0,52,6578.0
270.0,52,6835.0,112.04918032786885,1.7011677491959623,0,0.0,0.9678310271146842,6,712.0,0.12883872396071147,0,0.0,0.5721976817010802,10,1267.0,0.08759480246273989,18,2816.0,0.048816591455125125,10,1443.0,0.0,0,0.0,1.0,8,600.0,0.10143272763692109,0,0.0,0.9122267897362001,52,6838.0
275.0,53,7096.0,114.45161290322581,1.4601996056819853,0,0.0,1.0,7,743.0,0.06959355727406383,0,0.0,1.0,10,1317.0,0.12134841733344831,18,2906.0,0.0,10,1493.0,0.07226901974849816,0,0.0,0.9756000427840588,8,640.0,0.08766206644286037,0,0.0,0.9582163773089806,53,7099.0
280.0,53,7361.0,115.015625,1.618045551546156,0,0.0,1.0,7,778.0,0.10814678821171705,0,0.0,1.0,10,1367.0,0.08103424481103723,18,2996.0,0.0,10,1543.0,0.1211175871577057,0,0.0,0.7223755731727765,8,680.0,0.08537837824321544,0,0.0,0.5399316663975772,53,7364.0
285.0,55,7630.0,117.38461538461539,1.466871207400543,0,0.0,0.6449163363786983,7,813.0,0.0,0,0.0,1.0,10,1417.0,0.0,18,3086.0,0.05461446160315754,10,1593.0,0.15206448472703996,0,0.0,0.7493374789252916,10,724.0,0.034899500395979464,0,0.0,0.9798968168250322,55,7633.0
290.0,55,7905.0,119.77272727272727,1.2668318550907227,0,0.0,0.7120523781127535,7,848.0,0.052714231928836536,0,0.0,0.9797971381833293,10,1467.0,0.03029442630245769,18,3176.0,0.03356860494859544,10,1643.0,0.06557962847721283,0,0.0,1.0,10,774.0,0.13557298972396617,0,0.0,1.0,55,7908.0
295.0,57,8187.0,120.3970588235294,1.5873652857545135,0,0.0,1.0,8,886.0,0.2062914588584567,0,0.0,0.7439414219447024,10,1517.0,0.115068709890172,19,3270.0,0.045672565952054926,10,1693.0,0.0,0,0.0,1.0,10,824.0,0.13168383772207917,0,0.0,0.953753575168275,57,8190.0
300.0,59,8475.0,124.63235294117646,1.363187373547567,0,0.0,0.9518522687203568,10,929.0,0.12823739226888156,0,0.0,1.0,10,1567.0,0.08556022596397274,19,3365.0,0.0,10,1743.0,0.0,0,0.0,0.4939085117647051,10,874.0,0.08535006944790763,0,0.0,0.9408047596839617,59,8478.0
305.0,61,8776.0,129.05882352941177,1.0199287505929924,0,0.0,0.6601758480970457,10,979.0,0.09022525864969923,0,0.0,0.9600033111333912,10,1617.0,0.0,19,3460.0,0.0,10,1793.0,0.0,0,0.0,0.7524330881885254,12,930.0,0.03534184194388485,0,0.0,1.0,61,8779.0
310.0,62,9084.0,131.65217391304347,0.8202583314512462,0,0.0,1.0,10,1029.0,0.0712664001864039,0,0.0,0.9741967397582488,10,1667.0,0.0816471723727956,19,3555.0,0.0,10,1843.0,0.0,0,0.0,0.693502954261789,13,993.0,4.634444089010347e-05,0,0.0,1.0,62,9087.0
315.0,63,9399.0,134.27142857142857,1.089394904354501,0,0.0,1.0,10,1079.0,0.0,0,0.0,0.9295268156136685,11,1722.0,0.16792492119054844,19,3650.0,0.0,10,1893.0,0.05813806949218043,0,0.0,0.8902533538441638,13,1058.0,0.0,0,0.0,1.0,63,9402.0
320.0,63,9714.0,134.91666666666666,1.2199753286890156,0,0.0,1.0,10,1129.0,0.026597415177484904,0,0.0,0.8327376393663048,11,1777.0,0.07985690490465497,19,3745.0,0.027669502018177194,10,1943.0,0.1347012305507013,0,0.0,0.914961142807554,13,1123.0,0.03571863676043667,0,0.0,1.0,63,9717.0
325.0,64,10032.0,135.56756756756758,1.4858657296984445,0,0.0,0.9485157478143211,11,1182.0,1.8165998020915198e-06,0,0.0,1.0,11,1832.0,0.0,19,3840.0,0.047356417108121204,10,1993.0,0.13523885037885508,0,0.0,0.9513061716430177,13,1188.0,0.1570412822404908,0,0.0,0.8876424270789369,64,10035.0
330.0,65,10353.0,139.90540540540542,1.1534380765732644,0,0.0,0.41549905842126483,11,1237.0,0.0,0,0.0,0.5780127150043088,11,1887.0,0.0,19,3935.0,0.0,10,2043.0,0.07168610192400306,0,0.0,1.0,14,1254.0,0.104333690768425,0,0.0,0.953692981527708,65,10356.0
335.0,65,10678.0,142.37333333333333,1.2815501528850353,0,0.0,1.0,11,1292.0,0.05650305657604444,0,0.0,0.5402804354205039,11,1942.0,0.0,19,4030.0,0.0,10,2093.0,0.0,0,0.0,1.0,14,1324.0,0.12052487170538478,0,0.0,0.7694498233447812,65,10681.0
340.0,67,11007.0,142.94805194805195,1.3067949274263315,0,0.0,1.0,11,1347.0,0.05387210054706091,0,0.0,0.9496511720901614,11,1997.0,0.07444051944176955,19,4125.0,0.0,10,2143.0,0.1346180352350993,0,0.0,1.0,16,1398.0,0.013554120457254425,0,0.0,0.8476871671440682,67,11010.0
345.0,68,11344.0,145.43589743589743,1.3193667731163743,0,0.0,1.0,11,1402.0,0.10367239373582038,0,0.0,0.7623879474705006,11,2052.0,0.0824316522958637,19,4220.0,0.0,11,2195.0,0.06092578858070583,0,0.0,1.0,16,1478.0,0.002866343185072292,0,0.0,0.833120612677317,68,11347.0
350.0,69,11687.0,147.9367088607595,1.5328443348355727,0,0.0,0.9644124554817303,11,1457.0,0.07641322872191202,0,0.0,0.7514688388364119,11,2107.0,0.08095658509773868,19,4315.0,0.0,11,2250.0,0.13932302603083996,0,0.0,0.9734331168799769,17,1561.0,6.446408535265284e-07,0,0.0,0.5673921177737914,69,11690.0
355.0,69,12032.0,150.4,1.0036852370994815,0,0.0,0.36180771024401515,11,1512.0,0.1071291545750414,0,0.0,0.5598561740532163,11,2162.0,0.031740676284061825,19,4410.0,0.0,11,2305.0,0.09707045878009848,0,0.0,1.0,17,1646.0,0.01780115700467995,0,0.0,0.42692327692094606,69,12035.0
360.0,70,12380.0,154.75,1.5501095440144486,0,0.0,0.9441013208083908,11,1567.0,0.1192900709386131,0,0.0,0.5025860892555389,11,2217.0,0.08270392790604207,19,4505.0,0.0,11,2360.0,0.0,0,0.0,1.0,18,1734.0,0.0453105104998342,0,0.0,0.9244535668296754,70,12383.0
365.0,70,12730.0,159.125,1.3195977287186689,0,0.0,0.9242970697647008,11,1622.0,0.08218354244473883,0,0.0,0.9690834758785408,11,2272.0,0.0,19,4600.0,0.0,11,2415.0,0.043834939673852095,0,0.0,0.9720746503111968,18,1824.0,0.050720901820654106,0,0.0,0.8211215442355618,70,12733.0
370.0,70,13080.0,163.5,0.9655672234383678,0,0.0,0.8501225845977576,11,1677.0,0.08248863647694787,0,0.0,0.4666981409874934,11,2327.0,0.0,19,4695.0,0.015963954064472315,11,2470.0,0.07677394794648594,0,0.0,0.4856286008084428,18,1914.0,0.016050927656595403,0,0.0,0.9338739893843174,70,13083.0
375.0,73,13441.0,165.93827160493828,1.033359950723492,0,0.0,1.0,11,1732.0,0.06096938055375694,0,0.0,0.8868822226173187,11,2382.0,0.05429527095732392,20,4794.0,0.023715202508392413,11,2525.0,0.0,0,0.0,1.0,20,2011.0,0.03927559917842689,0,0.0,0.6052107807743535,73,13444.0
380.0,74,13809.0,168.40243902439025,0.9936470825304542,0,0.0,0.9902573648883575,11,1787.0,0.03557810490603717,0,0.0,1.0,11,2437.0,0.08890719680386948,21,4897.0,1.2708938875570655e-05,11,2580.0,0.10535261453834135,0,0.0,1.0,20,2111.0,0.0,0,0.0,0.7320347924383253,74,13812.0
385.0,75,14181.0,175.07407407407408,0.8902037617008448,0,0.0,0.7221861367985128,11,1842.0,0.103986789452374,0,0.0,1.0,11,2492.0,0.07545332491229939,21,5002.0,0.0,11,2635.0,0.14783856450601499,0,0.0,1.0,20,2211.0,0.0,0,0.0,1.0,74,14182.0
390.0,75,14556.0,177.5121951219512,1.0384426656732832,0,0.0,1.0,11,1897.0,0.07875595296141816,0,0.0,0.9050605789124847,11,2547.0,0.13281403619529228,21,5107.0,0.0,11,2690.0,0.07629175760590386,0,0.0,1.0,20,2311.0,0.0,0,0.0,0.986871649552342,74,14552.0
395.0,75,14931.0,179.89156626506025,0.8923491527637895,0,0.0,0.23308912822483144,11,1952.0,0.0,0,0.0,1.0,11,2602.0,0.0,21,5212.0,0.08336553657051042,11,2745.0,0.03493666048513204,0,0.0,0.9760221530255806,20,2411.0,0.0,0,0.0,0.3734266414248794,74,14922.0
400.0,76,15311.0,182.27380952380952,0.7983183854048844,0,0.0,0.9470880217311634,11,2007.0,0.0,0,0.0,0.453817871757908,11,2657.0,0.0,21,5317.0,0.018293812773911854,11,2800.0,0.0,0,0.0,0.7928734231722313,20,2511.0,0.0,1,5.0,0.0,75,15297.0
405.0,78,15697.0,186.86904761904762,0.6714147512221883,0,0.0,1.0,11,2062.0,0.0,0,0.0,0.9453975948785379,11,2712.0,0.032929026264949965,23,5428.0,0.024691342257455423,11,2855.0,0.0,0,0.0,0.6458101113445923,20,2611.0,0.025640849690140816,1,10.0,0.0,77,15678.0
410.0,78,16087.0,189.25882352941176,0.7810049720130626,0,0.0,1.0,11,2117.0,0.05610038776741016,0,0.0,1.0,11,2767.0,0.12108187933705863,23,5543.0,0.04724254424748819,11,2910.0,0.0,0,0.0,1.0,20,2711.0,0.04653955648384157,1,15.0,0.0,77,16063.0
415.0,78,16477.0,191.59302325581396,1.1196243025648298,0,0.0,1.0,11,2172.0,0.1485311727423922,0,0.0,0.5427012568465304,11,2822.0,0.08135545636181721,23,5658.0,0.03791595342223617,11,2965.0,0.0,0,0.0,0.9450714355370179,20,2811.0,0.03255999860358305,1,20.0,0.450140383189022,77,16448.0
420.0,79,16869.0,191.6931818181818,1.024183574954865,0,0.0,0.8798145246095874,11,2227.0,0.017881010132616976,0,0.0,0.772918810619859,11,2877.0,0.0,23,5773.0,0.0,11,3020.0,0.07160853194640276,0,0.0,1.0,21,2913.0,0.025823268246835583,1,25.0,0.39109493696064507,78,16835.0
425.0,79,17264.0,191.82222222222222,0.957961696649279,0,0.0,0.3811402725448544,11,2282.0,0.02078993823633399,0,0.0,0.7104200375937125,11,2932.0,0.10503376465828242,23,5888.0,0.041096303829067815,11,3075.0,0.11148853488332851,0,0.0,1.0,21,3018.0,0.042105024862900374,1,30.0,0.0,78,17225.0
430.0,80,17664.0,196.26666666666668,1.2577014585297654,0,0.0,0.9208636241731979,11,2337.0,0.07703663124216198,0,0.0,0.6491015800841504,11,2987.0,0.1245789514718373,23,6003.0,0.037967051830674454,11,3130.0,0.14341413810073428,0,0.0,0.6110948158524842,22,3128.0,0.0,1,35.0,0.0,79,17620.0
435.0,80,18064.0,202.96629213483146,1.036232806843025,0,0.0,0.9084386123445465,11,2392.0,0.0,0,0.0,0.7205346212773093,11,3042.0,0.05252610635758408,23,6118.0,0.0,11,3185.0,0.05917230992698528,0,0.0,0.9100231862670389,22,3238.0,0.01735549109105444,1,40.0,0.0,79,18015.0
