step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,28,144.0,0.9473684210526315,9.232596763964517,5,26.0,0.6006434948039755,0,0.0,0.7907158607621182,4,25.0,0.612263534071296,0,0.0,1.0,0,2.0,0.7754932141046434,1,8.0,0.7460330618131561,5,27.0,0.2772293672510634,0,0.0,0.9601204310571965,3,14.0,0.596892417711689,0,4.0,0.663808278179895,2,14.0,0.6907834365327139,1,7.0,0.7173448598798274,0,4.0,0.9125427553601195,6,54.0,0.11019797183601535,0,4.0,0.8455627182045263,1,5.0,0.6047007989495965,28,194.0
60.0,29,190.0,1.1875,8.964333474336414,1,21.0,0.520113248823997,2,7.0,0.5004268377469537,4,45.0,0.702120580029903,0,0.0,1.0,0,2.0,0.9595318278254235,1,13.0,0.8075495614335447,0,23.0,0.3008910487799409,0,4.0,0.5854608201290341,0,6.0,0.782184418325691,1,5.0,0.6611941744953621,4,23.0,0.6009987337184767,6,21.0,0.3300573202798764,0,4.0,0.858956867672191,6,84.0,0.3919470587733752,2,8.0,0.7370440617535889,2,15.0,0.7329306570064769,29,281.0
65.0,29,176.0,1.0232558139534884,7.890762527438274,2,9.0,0.6086948150181567,0,6.0,0.7124194240046621,4,61.0,0.5710744762015041,0,4.0,0.46400923187548004,0,2.0,0.9257565607498585,1,4.0,0.4849511041533074,2,10.0,0.6263033460526602,3,12.0,0.5657900537129116,3,8.0,0.6523266318521656,1,7.0,0.7065761723540689,6,48.0,0.41994255280027404,2,31.0,0.12013969759704773,1,11.0,0.3203231406455635,0,64.0,0.5698105707385552,2,10.0,0.5300256360129325,2,27.0,0.6406556458154083,29,314.0
70.0,26,104.0,0.5621621621621622,8.257437751686169,2,9.0,0.5806506898882414,0,4.0,0.909453110324769,2,46.0,0.20901024528433818,0,6.0,0.8474467062255949,1,3.0,0.7577970666963652,1,9.0,0.5762976127610822,0,2.0,0.9206874909016355,0,10.0,0.6902937257853664,5,27.0,0.4069394549312711,4,19.0,0.7054016339137104,2,42.0,0.38414548868668036,3,29.0,0.5518504999475894,1,10.0,0.5219601819732254,0,0.0,0.6513858610571295,5,27.0,0.4760260637315128,0,6.0,0.5937451125584564,26,249.0
75.0,18,69.0,0.359375,8.81950875805242,4,23.0,0.5071470093782432,1,1.0,0.6362538464079219,1,13.0,0.536838709720127,0,6.0,0.9053470387596086,1,12.0,0.5957049947730297,1,14.0,0.8288106208002107,0,2.0,0.8270087568325474,3,10.0,0.10197094592605864,0,23.0,0.4719159170702939,0,10.0,0.5970087387138283,0,11.0,0.7338606326753339,0,16.0,0.8003751182468558,0,7.0,0.7586941114036679,1,5.0,0.24187982946693756,6,39.0,0.2554598500905786,0,6.0,0.732691594784545,18,198.0
80.0,17,60.0,0.2912621359223301,9.12032008791638,1,19.0,0.5562427884500857,2,12.0,0.5385096791463834,2,10.0,0.529244331279241,0,4.0,0.9085398424117129,0,4.0,0.8360802329985438,0,4.0,0.7417071603512049,2,7.0,0.20665079851267354,0,8.0,0.5917277709554466,0,0.0,0.8461447310064909,3,9.0,0.46178738636205036,0,4.0,0.9183173886373265,0,4.0,0.8770759447868848,1,7.0,0.5308151245510984,4,23.0,0.5640866093856497,2,27.0,0.40016165586311864,0,4.0,0.809143702942579,17,146.0
85.0,34,122.0,0.5700934579439252,8.729380623528542,2,7.0,0.6741141472475428,0,8.0,0.7615207694239758,7,32.0,0.4868531519140189,1,5.0,0.45497757691018786,2,10.0,0.7715852935684565,4,12.0,0.4174758690767927,2,18.0,0.3692111854438444,0,0.0,0.92507198117422,1,2.0,0.7375353853277535,1,16.0,0.5158616041756627,1,5.0,0.5279921978316463,2,8.0,0.6231734950783012,7,32.0,0.5123319021772229,0,18.0,0.6797549307405357,4,29.0,0.43270441435822504,0,4.0,0.8436492377502728,34,206.0
90.0,27,130.0,0.5963302752293578,8.660563388152763,2,4.0,0.5425622287758326,0,4.0,0.855655583825576,3,38.0,0.28326502813196797,2,17.0,0.625846378763484,4,23.0,0.6489168748144734,5,36.0,0.2612965753207747,0,6.0,0.6870858672435372,0,4.0,0.8497741792771529,4,19.0,0.4319593723866206,2,5.0,0.7045828843092526,0,8.0,0.4120259140706029,2,18.0,0.7495075403902534,2,41.0,0.4578977585096573,0,2.0,0.6348923074276105,1,24.0,0.38317082454942597,0,4.0,0.6207596906847034,27,253.0
95.0,24,84.0,0.37333333333333335,8.886894583580306,4,18.0,0.560511443561016,1,6.0,0.5455737501651018,3,24.0,0.2092014045096228,0,8.0,0.8510599746799747,2,20.0,0.40611337032523126,0,30.0,0.6305998440634251,3,11.0,0.4435335551291869,0,8.0,0.806882192936412,1,20.0,0.4983806991428133,0,3.0,0.6787248607964522,1,9.0,0.7066356882940712,1,5.0,0.6385637135915311,7,39.0,0.42342474444260236,0,4.0,0.8509822064648415,1,11.0,0.7893669295888561,0,6.0,0.8013788579703202,24,222.0
100.0,33,138.0,0.6244343891402715,8.723832892892156,1,16.0,0.6318108556828558,6,31.0,0.36120336871293635,3,24.0,0.15870927292076545,0,4.0,0.8456017034363142,7,29.0,0.38955520618042705,0,4.0,0.8311091399234167,3,32.0,0.5262569804102908,0,4.0,0.8373313304851587,1,8.0,0.7519852081526579,2,5.0,0.46039752903948583,3,21.0,0.6445360380979592,4,17.0,0.5153724194687357,2,46.0,0.368643476397299,0,6.0,0.8482865718934851,1,6.0,0.7346432929452673,0,8.0,0.9040127341218792,33,261.0
