step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,14.031687710626365,0,0.0,0.9689245147795602,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,14.123249798919883,0,0.0,0.9544081846557587,0,0.0,1.0,0,0.0,0.9210814287358149,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,13.60936236046095,0,0.0,0.9880040483183844,0,0.0,0.894938789908355,0,0.0,0.9326896096460109,0,0.0,1.0,0,0.0
25.0,1,1.0,0.14285714285714285,11.551091826714325,0,0.0,0.9648253192842442,0,0.0,0.9570234616891103,1,1.0,0.627727765391389,0,0.0,1.0,1,1.0
30.0,1,6.0,0.6666666666666666,11.81807875492209,0,0.0,0.9510519355742612,0,0.0,0.9453266509802856,1,6.0,0.7150262728083185,0,0.0,1.0,1,6.0
35.0,2,12.0,1.2,9.723566743043744,1,1.0,0.48195391670683096,0,0.0,0.9527795016649656,1,11.0,0.6209421409316015,0,0.0,0.9628831471063919,2,12.0
40.0,3,25.0,2.5,7.719750955635137,1,6.0,0.45947653998898946,0,0.0,1.0,2,19.0,0.22963444381909476,0,0.0,0.9455447053752939,3,25.0
45.0,4,45.0,4.090909090909091,7.2570474587626785,1,11.0,0.34054673273812214,0,0.0,1.0,3,34.0,0.2488236760795126,0,0.0,0.908528456209352,4,45.0
50.0,5,70.0,5.833333333333333,7.280498852856013,2,21.0,0.47111048877923134,0,0.0,0.9041272555614476,3,49.0,0.18468898750567675,0,0.0,0.9371288124169578,5,70.0
55.0,6,97.0,6.466666666666667,7.643142453513631,2,31.0,0.19182935508407997,0,0.0,0.9363881466457968,4,66.0,0.3920133982120115,0,0.0,1.0,6,97.0
60.0,7,128.0,9.846153846153847,6.2913754501820325,3,42.0,0.0003042258503899984,0,0.0,0.9386568116053551,4,86.0,0.3886670872631625,0,0.0,0.9892660151982003,7,128.0
65.0,8,164.0,10.933333333333334,5.506530848529173,3,57.0,0.3831212333270701,0,0.0,1.0,5,107.0,0.009596540107825393,0,0.0,0.909329958482999,8,164.0
70.0,9,208.0,13.866666666666667,4.5439722095681265,3,72.0,0.2176490200893686,0,0.0,1.0,6,136.0,0.1428875178486758,0,0.0,0.8676567507196639,9,208.0
75.0,11,257.0,16.0625,4.10021655322048,5,91.0,0.16736812291862155,0,0.0,1.0,6,166.0,0.23960471171968006,0,0.0,1.0,11,257.0
80.0,11,312.0,16.42105263157895,4.43567980919395,5,116.0,0.4155994846670874,0,0.0,1.0,6,196.0,0.0769273792726007,0,0.0,1.0,11,312.0
85.0,14,375.0,22.058823529411764,1.2311124947804712,6,142.0,0.1726717223634099,0,0.0,1.0,8,233.0,0.00017190893675690612,0,0.0,1.0,14,375.0
90.0,16,451.0,23.736842105263158,1.424502938165024,8,178.0,0.003354117810388602,0,0.0,1.0,8,273.0,0.18732510462608193,0,0.0,1.0,16,451.0
95.0,16,531.0,27.94736842105263,0.6052319900537381,8,218.0,7.967107715315095e-07,0,0.0,1.0,8,313.0,0.04134395116071257,0,0.0,1.0,16,531.0
100.0,18,619.0,29.476190476190474,1.8861596699965528,8,258.0,0.10379712236112586,0,0.0,0.9536164061555177,10,363.0,0.08584557552825098,0,0.0,1.0,18,621.0
105.0,18,709.0,28.36,3.097480071879774,8,298.0,0.235101127897796,0,0.0,0.937891880747106,10,413.0,0.08469752216788852,0,0.0,1.0,18,711.0
110.0,19,803.0,29.74074074074074,2.2672196823099555,9,342.0,0.1108224840235527,0,0.0,0.9525017193083831,10,461.0,0.0,0,0.0,0.9299057613202955,19,803.0
115.0,18,698.0,24.928571428571427,2.3026013873103577,8,310.0,0.09027266856476841,0,0.0,1.0,10,511.0,0.0,0,0.0,0.9605227468730069,18,821.0
120.0,16,602.0,22.296296296296298,3.420603592200738,6,222.0,0.1753458129357128,0,2.0,0.8478320435359179,10,561.0,0.0,0,0.0,0.9069708480141682,16,785.0
125.0,12,626.0,21.586206896551722,5.769806365233386,2,122.0,0.3668679635604022,0,2.0,0.9296981537559459,10,611.0,0.0,0,0.0,1.0,12,735.0
130.0,11,666.0,22.96551724137931,4.985439788214205,1,51.0,0.44983676516030296,0,2.0,0.5472023712889801,10,661.0,0.0,0,0.0,1.0,11,714.0
135.0,14,722.0,23.29032258064516,4.211593702925304,1,47.0,0.4381909825851103,3,12.0,0.3966933891885775,10,711.0,0.0,0,0.0,1.0,14,770.0
140.0,19,806.0,24.424242424242426,3.170826471912577,3,57.0,0.20905264101373092,6,36.0,0.2700265173360212,10,763.0,0.1508767706608152,0,0.0,1.0,19,856.0
145.0,22,893.0,24.135135135135137,4.186545867128021,3,56.0,0.4001118279906109,9,75.0,0.20914791560318738,10,813.0,0.15573659896687778,0,0.0,0.9844061332644041,22,944.0
150.0,19,979.0,23.30952380952381,5.5279524614488,0,31.0,0.5223476595138022,9,122.0,0.21523822004244456,10,861.0,0.08808835894014054,0,0.0,0.9497368336032938,19,1014.0
155.0,22,1081.0,24.568181818181817,4.7524314661402975,2,9.0,0.500770716845773,10,168.0,0.15900578598014467,10,911.0,0.001827367355530448,0,0.0,0.8417086535877891,22,1088.0
160.0,28,1210.0,28.13953488372093,3.1216843766735467,4,23.0,0.3697411744412901,13,225.0,0.04099307413753121,11,966.0,0.0,0,0.0,0.8028255362283184,28,1214.0
165.0,33,1366.0,31.045454545454547,2.0090439793544235,6,51.0,0.1799700230230791,16,298.0,0.00982911604821858,11,1021.0,0.0,0,0.0,1.0,33,1370.0
170.0,38,1547.0,35.15909090909091,1.705303356705869,9,90.0,0.17202429447140696,18,385.0,5.686153674616567e-05,11,1076.0,0.08086286599666133,0,0.0,1.0,38,1551.0
175.0,38,1737.0,37.76086956521739,1.6346728905608259,9,135.0,0.1308710310961059,18,475.0,0.051917967946340314,11,1131.0,0.13320833480634456,0,0.0,1.0,38,1741.0
180.0,42,1940.0,41.276595744680854,1.1457845317762394,11,187.0,0.1272177473400135,18,565.0,0.09530198466630727,13,1192.0,0.002369310814324888,0,0.0,1.0,42,1944.0
185.0,44,2156.0,44.916666666666664,0.8994320014162609,12,244.0,0.07839126192663462,18,655.0,0.049542287421706944,14,1261.0,7.483165997335211e-07,0,0.0,0.9242123581440627,44,2160.0
190.0,45,2380.0,46.666666666666664,1.3140605601553035,13,308.0,0.1607866772979155,18,745.0,0.0,14,1331.0,0.005976543702991983,0,0.0,0.9500642259911937,45,2384.0
195.0,47,2610.0,48.333333333333336,1.60630133600469,14,375.0,0.08312564332304591,18,835.0,0.09505016057602249,15,1404.0,0.051750662534513756,0,0.0,0.9681983136304175,47,2614.0
200.0,47,2711.0,50.2037037037037,1.2334545091295614,13,396.0,0.027421072294196613,18,925.0,0.09510378671026841,16,1481.0,1.5357025181002752e-05,0,0.0,1.0,47,2802.0
205.0,42,2743.0,48.982142857142854,2.5033146377687197,8,316.0,0.2173009024074104,18,1015.0,0.0,16,1563.0,0.16814510122231355,0,0.0,0.9474682094671466,42,2894.0
210.0,40,2898.0,49.96551724137931,2.8706365744077833,5,263.0,0.22635361919996386,18,1105.0,0.08209922277831645,17,1644.0,0.21793370578481466,0,0.0,0.9480187347888432,40,3012.0
215.0,42,3104.0,50.885245901639344,3.433867857652194,6,206.0,0.29092229199525665,18,1195.0,0.12560953146518308,18,1729.0,0.19270406935909437,0,0.0,0.9103977945662639,42,3130.0
220.0,43,3318.0,53.516129032258064,3.587318298814764,6,214.0,0.2970119110255391,18,1285.0,0.12573577442506417,19,1823.0,0.16685045371540239,0,0.0,1.0,43,3322.0
225.0,43,3533.0,58.88333333333333,3.0730674895063905,6,244.0,0.08033907202013778,18,1375.0,0.0,19,1918.0,0.16162026496552323,0,0.0,0.920652831807061,43,3537.0
230.0,44,3749.0,65.7719298245614,2.4560987603081474,7,275.0,0.0005431176492773627,18,1465.0,0.050989257774793136,19,2013.0,0.1334399657148074,0,0.0,0.8152116365725884,44,3753.0
235.0,44,3969.0,68.43103448275862,2.6477670258367576,7,310.0,0.0,18,1555.0,0.09979637754810733,19,2108.0,0.06594906803240111,0,0.0,0.7973404660953369,44,3973.0
240.0,44,4189.0,74.80357142857143,2.369272949713879,7,345.0,0.0,18,1645.0,0.05222547747086726,19,2203.0,0.0,0,0.0,1.0,44,4193.0
245.0,44,4409.0,81.64814814814815,2.268322081388325,7,380.0,0.12148039981724448,18,1735.0,0.04818101222604889,19,2298.0,0.0,0,0.0,0.9488418126768792,44,4413.0
250.0,44,4629.0,90.76470588235294,1.793414533270203,7,415.0,0.18943870470211577,18,1825.0,0.0,19,2393.0,0.0,0,0.0,0.9508891550688735,44,4633.0
255.0,45,4851.0,99.0,1.0461802458019034,8,452.0,0.17737478096885104,18,1915.0,0.0,19,2488.0,0.0,0,0.0,0.932663861383775,45,4855.0
260.0,46,5079.0,101.58,1.0232191934911803,9,495.0,0.1586310846576757,18,2005.0,0.0,19,2583.0,0.0,0,0.0,1.0,46,5083.0
265.0,46,5309.0,106.18,1.076323687381734,9,540.0,0.23374493045075426,18,2095.0,0.0,19,2678.0,0.0,0,0.0,1.0,46,5313.0
270.0,46,5539.0,110.78,0.7873057604862517,9,585.0,0.05652903241896353,18,2185.0,0.05263157894736842,19,2773.0,0.034422049178097276,0,0.0,1.0,46,5543.0
275.0,47,5770.0,106.85185185185185,1.5642624779742884,10,631.0,0.09091411253036702,18,2275.0,0.13505641719554165,19,2868.0,0.08664545068257692,0,0.0,1.0,47,5774.0
