step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.8624237542506314,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.234427851137141,0,0.0,0.9759986986441402,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,8.474563205808948,0,0.0,1.0,0,0.0,0.9795192437940282,0,0.0
25.0,0,0.0,0.0,11.998504589653203,0,0.0,0.9764080012389738,0,0.0,0.6847097545797157,0,0.0
30.0,1,1.0,0.1111111111111111,9.26745313154825,1,1.0,0.3985301661618537,0,0.0,1.0,1,1.0
35.0,2,10.0,1.1111111111111112,6.824152488715799,2,10.0,0.23000473006647557,0,0.0,0.8398016554700467,2,10.0
40.0,4,22.0,1.8333333333333333,7.5786978697688285,2,20.0,0.2854217692295255,1,2.0,0.44588265495194046,3,22.0
45.0,3,23.0,1.5333333333333334,7.098057061574007,1,16.0,0.4415281906888542,1,7.0,0.44676788426947756,2,23.0
50.0,2,33.0,2.0625,8.278504750005805,1,21.0,0.6942816350650602,1,14.0,0.43299405813236075,2,35.0
55.0,5,51.0,3.0,6.455245618111307,3,31.0,0.2854661161484979,2,22.0,0.35994562116064477,5,53.0
60.0,6,69.0,4.0588235294117645,6.929809782100993,2,37.0,0.31851879562236174,3,32.0,0.5390890898792691,5,69.0
65.0,5,94.0,5.875,6.366464527467446,2,47.0,0.0,3,47.0,0.38094530609724464,5,94.0
70.0,9,126.0,7.411764705882353,5.352420958535923,2,57.0,0.0,6,69.0,0.22164759194766864,8,126.0
75.0,10,166.0,9.222222222222221,3.234885042797355,2,67.0,0.27314638530247926,6,99.0,0.10401546001211212,8,166.0
80.0,8,133.0,6.65,5.346747927615704,0,0.0,0.7572023659915067,7,133.0,0.0,7,133.0
85.0,9,172.0,7.818181818181818,5.931200920812073,2,4.0,0.37839321526782305,7,170.0,0.2902524032291923,9,174.0
90.0,10,217.0,9.041666666666666,4.824166633368781,3,14.0,0.2821025544577913,7,205.0,0.22798758736118388,10,219.0
95.0,15,280.0,10.76923076923077,4.663594912874398,4,31.0,0.3727176872936266,10,253.0,0.18917859833326361,14,284.0
100.0,15,353.0,13.576923076923077,4.0434672031449,4,51.0,0.12862415245470102,11,306.0,0.04310764351590143,15,357.0
105.0,18,436.0,15.03448275862069,3.4716154843827285,5,76.0,0.31357588843222484,12,364.0,2.0779451217592445e-06,17,440.0
110.0,18,523.0,18.03448275862069,3.720634484129622,6,103.0,0.21757659278285857,12,424.0,0.048364711884919837,18,527.0
115.0,19,614.0,19.1875,3.609822122130671,7,134.0,0.21226241926151218,12,484.0,0.0,19,618.0
120.0,20,713.0,22.28125,4.05978845762988,8,173.0,0.19302343663300606,12,544.0,0.17094990554183626,20,717.0
125.0,20,813.0,25.40625,3.2716996515518844,8,213.0,0.15456967837769414,12,604.0,0.07370902149567117,20,817.0
130.0,17,709.0,23.633333333333333,3.667609675718668,3,90.0,0.21869005632831984,14,670.0,0.05663052167703524,17,760.0
135.0,21,800.0,25.806451612903224,3.9569125598129764,5,63.0,0.1648237043870752,15,741.0,8.193830100589911e-05,20,804.0
140.0,21,900.0,32.142857142857146,2.659678637919892,5,88.0,0.1608471656440333,15,816.0,0.0,20,904.0
145.0,20,1000.0,37.03703703703704,2.321258839494144,5,113.0,0.0,15,891.0,0.03755756299490366,20,1004.0
150.0,18,1039.0,38.48148148148148,3.105857372067396,3,77.0,0.0,15,966.0,0.12276210214007345,18,1043.0
155.0,21,1136.0,42.074074074074076,2.6733153164478227,3,92.0,0.3790007224935169,18,1052.0,0.09781053393454595,21,1144.0
160.0,19,1135.0,40.535714285714285,1.4735288327399407,1,26.0,0.06758365992513914,18,1140.0,0.0799592776281959,19,1166.0
165.0,22,1244.0,44.42857142857143,1.8976714660426002,2,10.0,0.0,20,1240.0,0.0016626533925113796,22,1250.0
170.0,22,1350.0,50.0,1.7403417966299466,1,11.0,0.0,21,1345.0,0.02087756932218755,22,1356.0
175.0,22,1460.0,54.074074074074076,1.7569314530985563,1,16.0,0.4019149190350093,21,1452.0,0.04317734341460156,22,1468.0
180.0,22,1570.0,58.148148148148145,1.8483598223651763,1,21.0,0.4148924088130819,21,1555.0,0.04391779201635753,22,1576.0
185.0,24,1685.0,60.17857142857143,1.5932316256396308,3,31.0,0.24371267664454335,21,1660.0,0.0,24,1691.0
190.0,24,1805.0,66.85185185185185,1.0696540884473567,3,46.0,0.006816653696700488,21,1765.0,0.045348854115535846,24,1811.0
195.0,23,1889.0,69.96296296296296,1.0799062469717637,2,25.0,0.0,21,1870.0,0.0,23,1895.0
200.0,23,2004.0,71.57142857142857,1.9957739691393954,2,35.0,0.329055556767541,21,1979.0,0.08504395293863388,23,2014.0
205.0,23,2119.0,73.06896551724138,1.2297799288578788,2,45.0,0.0,21,2084.0,0.028784070373790015,23,2129.0
210.0,24,2238.0,74.6,1.7656304864040555,2,55.0,0.27364752895913846,22,2191.0,0.0,24,2246.0
215.0,25,2358.0,71.45454545454545,1.8197017650299907,2,65.0,0.07439551915995515,22,2301.0,0.08312829026150916,24,2366.0
220.0,24,2478.0,72.88235294117646,2.4969429954917937,2,75.0,0.36460001758550875,22,2412.0,0.0696134353739934,24,2487.0
225.0,25,2603.0,74.37142857142857,2.7472893273242267,2,85.0,0.322818879339247,23,2527.0,0.0848022520353696,25,2612.0
230.0,28,2735.0,70.12820512820512,2.2936776370715526,2,95.0,0.389863143708044,25,2649.0,0.03661504108573654,27,2744.0
235.0,29,2876.0,73.74358974358974,2.8275164204823455,3,106.0,0.201695097525831,26,2779.0,0.03589921218310601,29,2885.0
240.0,33,3026.0,77.58974358974359,1.4211970467588413,5,126.0,0.1606294942680633,26,2909.0,0.007788343034382404,31,3035.0
245.0,32,3186.0,79.65,1.9395970618807403,5,151.0,0.0,27,3044.0,2.4021941822408185e-07,32,3195.0
250.0,32,3346.0,83.65,2.0703265255711263,5,176.0,0.146995567397231,27,3179.0,0.09695636194342049,32,3355.0
255.0,30,3327.0,81.14634146341463,1.974236899894969,1,53.0,0.08867086610717471,29,3320.0,0.08119832789332987,30,3373.0
260.0,30,3477.0,84.8048780487805,2.3547820480998896,1,21.0,0.0,29,3465.0,0.014452766133093797,30,3486.0
265.0,33,3634.0,82.5909090909091,2.3114746401356006,1,26.0,0.5448852930609088,31,3617.0,2.661794972930269e-06,32,3643.0
270.0,33,3796.0,90.38095238095238,1.9390348487728197,2,33.0,0.3742818718883619,31,3772.0,0.03675163152961705,33,3805.0
275.0,35,3964.0,86.17391304347827,2.2163036505081464,3,46.0,0.3136320507196024,31,3927.0,0.014644892818138635,34,3973.0
280.0,35,4088.0,83.42857142857143,2.1484883414687905,2,22.0,0.2918800469432618,32,4084.0,2.806837385570775e-05,34,4106.0
285.0,35,4260.0,86.93877551020408,2.742749477751945,3,25.0,0.36345880644376505,32,4244.0,0.06769711158417861,35,4269.0
290.0,37,4432.0,90.44897959183673,2.2895379717993873,3,32.0,0.18505591066310212,34,4409.0,0.030523933655126075,37,4441.0
295.0,38,4622.0,94.3265306122449,2.3802994089587917,3,47.0,0.3182362168758935,35,4584.0,0.0469776102142395,38,4631.0
300.0,39,4814.0,100.29166666666667,1.8884606725608848,4,64.0,2.9361703423856112e-05,35,4759.0,0.06157865721593075,39,4823.0
305.0,40,5010.0,108.91304347826087,1.0371795208659425,4,84.0,0.09307973073114063,36,4935.0,0.00012923740305564323,40,5019.0
310.0,40,5198.0,106.08163265306122,1.766700186908518,3,92.0,0.4690963909030919,36,5115.0,0.0,39,5207.0
315.0,40,5393.0,107.86,1.5132306957865422,3,107.0,0.3129796915436039,36,5297.0,0.04294089220444112,39,5404.0
320.0,42,5598.0,107.65384615384616,1.7162475257304395,4,126.0,0.10953086712320105,38,5483.0,1.2725446908679833e-05,42,5609.0
325.0,42,5803.0,109.49056603773585,1.7952093339467488,4,141.0,0.2779806618712518,38,5673.0,0.046928094157860784,42,5814.0
330.0,44,6018.0,113.54716981132076,1.7251062414211726,4,161.0,0.1883035155932857,39,5868.0,0.021933302450477067,43,6029.0
