step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.165478411479853,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.362048318263783,0,0.0,0.7749313634020233,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,7.726949849250497,0,0.0,1.0,0,0.0,0.5822083039137256,0,0.0
20.0,3,4.0,0.4,6.087273337807028,0,0.0,0.9051607944786779,1,4.0,0.0,1,4.0
25.0,1,9.0,1.0,9.229418785644286,0,0.0,0.9477317493341885,1,9.0,0.580819925821478,1,9.0
30.0,1,14.0,1.4,7.036959281116547,0,0.0,0.5178138410294753,1,14.0,0.4994976766121874,1,14.0
35.0,3,27.0,2.7,7.435880845693207,1,5.0,0.5934223935862158,2,22.0,0.23700264283390618,3,27.0
40.0,6,47.0,3.9166666666666665,4.274570669182171,2,11.0,0.13690436430960298,3,36.0,3.125317360931383e-05,5,47.0
45.0,4,66.0,6.0,6.223688535078241,1,15.0,0.4932660182202945,3,51.0,0.0,4,66.0
50.0,5,86.0,6.615384615384615,5.7008417775885345,1,20.0,0.42245218275874025,3,66.0,0.05478921756249061,4,86.0
55.0,8,116.0,7.733333333333333,5.124035109273939,3,31.0,0.3940826213930593,4,85.0,0.11611403314428688,7,116.0
60.0,9,155.0,10.333333333333334,3.978060458880956,4,47.0,0.1911362037137489,5,108.0,3.4871559159423935e-05,9,155.0
65.0,9,188.0,12.533333333333333,4.31383707596757,3,55.0,0.2272385906748827,5,133.0,0.1878377691508661,8,188.0
70.0,8,228.0,16.285714285714285,4.684861734986225,3,70.0,0.0,5,160.0,0.2770448419590683,8,230.0
75.0,9,270.0,16.875,4.048653664081456,3,85.0,0.0,6,187.0,0.3551570455119672,9,272.0
80.0,9,315.0,19.6875,2.0740198292654792,3,100.0,0.09626023562349406,6,217.0,0.003492027135208268,9,317.0
85.0,10,293.0,17.235294117647058,3.4017695827157417,1,34.0,0.4581752479524791,9,261.0,0.08035711674603266,10,295.0
90.0,10,343.0,18.05263157894737,4.003220372118326,1,39.0,0.39890555869256505,9,308.0,0.09810214200810648,10,347.0
95.0,14,399.0,18.136363636363637,3.7912605664467667,3,50.0,0.0015068499010139332,9,353.0,0.25704825850461704,12,403.0
100.0,13,461.0,20.954545454545453,3.7933802931417606,3,65.0,0.0,10,398.0,0.003151151093831475,13,463.0
105.0,12,504.0,24.0,3.5935419699330255,1,54.0,0.5032021176955341,11,452.0,0.0018722556990943032,12,506.0
110.0,13,568.0,28.4,3.759718345581439,1,59.0,0.0,12,513.0,0.1310704826109504,13,572.0
115.0,15,633.0,25.32,3.66451875717278,1,64.0,0.0,12,573.0,0.13460098706861148,13,637.0
120.0,15,701.0,28.04,3.599364128979808,1,69.0,0.19603693597030153,13,636.0,0.0022939089178988788,14,705.0
