step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,4.704622829740402,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,13.070830966549277,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,4.046092278162353,0,0.0,0.3259456139996163,0,0.0,0.4143429715744492,0,0.0
25.0,2,9.0,1.8,6.357768726871372,1,5.0,2.7861975736461897e-05,1,4.0,0.42692213974899157,2,9.0
30.0,2,19.0,2.7142857142857144,6.15557601797481,1,10.0,0.42390215721510643,1,9.0,0.0,2,19.0
35.0,4,32.0,3.2,6.370710736957962,2,18.0,0.30790299950414973,1,14.0,0.0,3,32.0
40.0,3,47.0,5.222222222222222,7.008598049304165,2,28.0,0.30535911866190807,1,19.0,0.3195963503982019,3,47.0
45.0,3,62.0,6.2,6.314391585169007,2,38.0,0.31079742352423606,1,24.0,0.5668396866162607,3,62.0
50.0,3,77.0,6.416666666666667,5.8047440603385505,2,48.0,0.3086368105778965,1,29.0,0.454832563120576,3,77.0
55.0,7,103.0,8.583333333333334,3.6181201031406935,3,59.0,0.22353889096643367,4,44.0,0.12509775410867213,7,103.0
60.0,9,144.0,11.076923076923077,3.1336522205077872,5,80.0,0.16032067303098563,4,64.0,0.0,9,144.0
65.0,9,189.0,12.6,3.207004386340112,5,105.0,0.04540189959092148,4,84.0,0.0,9,189.0
70.0,11,238.0,15.866666666666667,2.0017138062942763,6,134.0,0.00495849991324606,4,104.0,0.0,10,238.0
75.0,12,295.0,17.352941176470587,1.2452521081793446,8,171.0,4.3666724699023696e-05,4,124.0,0.0,12,295.0
80.0,14,360.0,18.0,3.1364490253069603,8,211.0,0.0,4,144.0,0.30471614719267226,12,355.0
85.0,14,427.0,20.333333333333332,3.088122849643283,8,251.0,0.0,5,166.0,0.0004115435615464136,13,417.0
90.0,17,502.0,21.82608695652174,2.7467308893924747,8,291.0,0.1503830099932884,5,191.0,0.0,13,482.0
95.0,16,581.0,25.26086956521739,2.46002202079479,9,335.0,0.09371647374566719,5,216.0,0.0020744990928549616,14,551.0
100.0,18,666.0,25.615384615384617,2.5353474413293404,9,380.0,9.817955533395108e-07,6,246.0,0.24147445559572453,15,626.0
105.0,19,757.0,27.035714285714285,2.759579362867839,9,425.0,0.13663300560255906,7,280.0,0.20893070526036156,16,705.0
110.0,22,857.0,26.78125,2.6351995122661616,9,470.0,0.09815859299401589,8,320.0,0.09812587860715176,17,790.0
115.0,21,962.0,29.151515151515152,3.303718096095664,9,515.0,0.13291620968478252,9,365.0,0.16931623229976953,18,880.0
120.0,25,1074.0,30.685714285714287,2.4355453604543356,9,560.0,0.09443796638430461,11,414.0,0.09110070057616551,20,974.0
125.0,28,1205.0,33.47222222222222,2.290365548689525,9,605.0,0.0900950230768682,13,473.0,0.06863761354417527,22,1078.0
130.0,27,1336.0,35.1578947368421,3.0474687940521097,9,650.0,0.10338620438356318,13,538.0,0.06917560003377445,22,1188.0
135.0,28,1475.0,38.81578947368421,2.6285226214362267,10,706.0,0.1922621110367554,13,603.0,0.0,23,1309.0
140.0,30,1609.0,39.24390243902439,2.4344407426546173,11,750.0,0.05550557693560391,13,668.0,0.0,24,1418.0
145.0,33,1757.0,39.044444444444444,2.2263628923065895,12,807.0,0.0630789921022318,14,734.0,0.08640963922659611,26,1541.0
150.0,32,1914.0,40.723404255319146,2.842968401882197,12,867.0,0.034412950336315896,15,806.0,0.05954564290352914,27,1673.0
155.0,37,2082.0,40.8235294117647,2.266417247974455,15,939.0,0.002623897205755198,15,881.0,0.13765479998069174,30,1820.0
160.0,37,2259.0,44.294117647058826,2.505688575833986,16,1017.0,0.04525926773316834,16,958.0,0.05219134248482183,32,1975.0
165.0,40,2458.0,50.16326530612245,1.829493708279955,16,1097.0,0.08669282035445186,17,1043.0,0.056663805036748525,33,2140.0
170.0,42,2661.0,53.22,1.4171412697251964,16,1177.0,0.04753205275243823,18,1131.0,0.07766434530216301,34,2308.0
175.0,43,2870.0,59.791666666666664,0.8626390866760812,17,1260.0,2.1058956775788595e-05,19,1222.0,0.05232284657109809,36,2482.0
180.0,44,3087.0,63.0,1.1223913987112786,16,1337.0,0.0,21,1327.0,4.932631705576609e-06,37,2664.0
185.0,44,3307.0,64.84313725490196,1.2350786484398693,16,1417.0,0.01334904183383538,21,1432.0,0.0,37,2849.0
190.0,44,3527.0,71.9795918367347,1.0223274213282671,16,1497.0,0.05704362299742343,21,1537.0,0.04146502484447515,37,3034.0
195.0,45,3749.0,74.98,0.9640017300750299,17,1579.0,4.016704517526161e-05,21,1643.0,0.08275944674095673,38,3222.0
200.0,45,3974.0,77.92156862745098,0.7144445543368889,17,1664.0,0.0,21,1747.0,0.0274187272762797,38,3411.0
205.0,48,4210.0,80.96153846153847,0.4786392131606635,17,1749.0,0.012553974191806063,24,1863.0,1.2813007985636813e-05,41,3612.0
210.0,51,4456.0,79.57142857142857,0.6309573791056747,18,1838.0,0.0,24,1983.0,0.0,42,3821.0
215.0,51,4707.0,79.77966101694915,0.7628515237691578,18,1928.0,0.04839002119620108,24,2103.0,0.01971957955571028,42,4031.0
220.0,55,4970.0,81.47540983606558,0.9905326573122673,19,2020.0,2.828120484786776e-05,25,2226.0,0.09250942071639152,44,4246.0
225.0,55,5245.0,81.953125,0.9075564945565725,19,2115.0,0.06103980463657846,25,2351.0,0.005369240474282721,44,4466.0
230.0,55,5512.0,83.51515151515152,1.7737473351425528,18,2198.0,0.13720593552879923,26,2480.0,0.026123232072942933,44,4678.0
235.0,55,5787.0,85.1029411764706,1.4589069405825386,18,2288.0,0.00728361000319435,26,2612.0,0.08813154090622513,44,4900.0
240.0,57,6068.0,91.93939393939394,1.1614126503613011,18,2378.0,0.036495210079410645,28,2748.0,0.0915410570311198,46,5126.0
245.0,58,6353.0,92.07246376811594,1.5620228393977296,18,2468.0,0.09117862814161107,28,2886.0,0.0009479828091339365,46,5354.0
250.0,59,6643.0,96.27536231884058,1.6543548770844936,18,2558.0,0.0506772075316788,29,3031.0,0.030906146754250362,47,5589.0
255.0,59,6933.0,100.47826086956522,1.4306841106561894,18,2648.0,0.0,29,3176.0,0.03134364490652699,47,5824.0
260.0,60,7224.0,104.69565217391305,1.5946577339576535,18,2738.0,0.04838133932482563,29,3321.0,0.0,47,6059.0
265.0,60,7520.0,110.58823529411765,0.9662646377393533,18,2828.0,0.05003916364874174,29,3466.0,0.042025681301640694,47,6294.0
270.0,61,7823.0,118.53030303030303,0.7380844817473009,19,2921.0,3.45400722017239e-06,29,3611.0,0.05820698561027248,48,6532.0
275.0,62,8124.0,119.47058823529412,0.5424359449823561,18,3008.0,0.04862357091337658,30,3760.0,0.034074006665240145,48,6768.0
280.0,65,8443.0,122.3623188405797,0.5947916060853864,18,3098.0,0.0,33,3924.0,0.05278228924260548,51,7022.0
285.0,59,7500.0,108.69565217391305,1.0076283136881277,12,2664.0,0.036758501260369884,33,4089.0,0.04693265090315843,45,6753.0
290.0,52,6430.0,91.85714285714286,1.3564384077241385,7,2182.0,0.049207947300791935,33,4254.0,0.04721068429627677,40,6436.0
295.0,54,5542.0,78.05633802816901,1.4829894171840656,10,2361.0,0.015526473438854183,34,4424.0,0.0751630153679081,44,6785.0
300.0,56,5779.0,82.55714285714286,0.9391812488055824,14,2634.0,0.00152234582980939,34,4594.0,0.007574238903195886,48,7228.0
305.0,57,5242.0,74.88571428571429,1.2799631090217864,10,2086.0,0.045161920801152854,35,4768.0,0.013919030719669453,45,6854.0
310.0,58,5496.0,79.65217391304348,1.294112367759267,10,1927.0,0.0004637554837408719,36,4947.0,0.028149035805185223,46,6874.0
315.0,61,5798.0,84.02898550724638,0.9609294950598948,10,1977.0,5.88893482709518e-06,37,5131.0,0.0014798520294451634,47,7108.0
320.0,63,6034.0,90.05970149253731,0.5049029050499988,10,2024.0,6.292263176986027e-05,38,5321.0,0.038070886677678495,48,7345.0
325.0,62,6214.0,91.38235294117646,0.4717087122920416,8,1640.0,0.013532894893321174,40,5518.0,2.948578308800181e-05,48,7158.0
