step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
335.0,57,7244.0,109.75757575757575,1.0530897750467396,5,128.0,0.20303540409749704,46,6909.0,3.1489346324984157e-06,51,7037.0
340.0,51,7454.0,112.93939393939394,1.993524532946422,1,108.0,0.31388958792406607,46,7139.0,0.03336116819159348,47,7247.0
345.0,51,7709.0,116.8030303030303,2.358137935098248,1,93.0,0.35913979998073947,46,7373.0,0.10661931082135417,47,7466.0
350.0,54,7968.0,117.17647058823529,1.6103871155639435,2,99.0,0.2832437362982512,48,7606.0,0.08553297945130046,50,7705.0
355.0,56,8246.0,121.26470588235294,1.6286728113928333,2,109.0,0.3107528223662576,50,7853.0,0.034158542825891314,52,7962.0
360.0,57,8530.0,125.44117647058823,1.40473419019674,2,119.0,0.13778715452586746,51,8107.0,0.012688640766717553,53,8226.0
365.0,58,8818.0,127.79710144927536,1.5824421285474475,2,129.0,0.4661502874054215,52,8365.0,2.0447043526462618e-06,54,8494.0
370.0,59,9088.0,129.82857142857142,1.0401011417357848,1,118.0,0.2399588884570031,52,8625.0,0.014947433930040147,53,8743.0
375.0,60,9382.0,132.14084507042253,1.5228001749772353,2,127.0,0.5216360997176698,52,8887.0,0.040707192137367225,54,9014.0
380.0,60,9673.0,132.5068493150685,1.3440037834516856,1,128.0,0.5815012993025629,54,9152.0,0.01867772471132146,55,9280.0
385.0,62,9974.0,131.23684210526315,1.530311545533859,2,137.0,0.2642177845890646,54,9421.0,0.021544452233342566,56,9558.0
390.0,60,10135.0,128.29113924050634,1.722025647153011,1,3.0,0.306902413757688,54,9690.0,0.03914831140808281,55,9693.0
395.0,63,10448.0,132.25316455696202,2.0260116399546666,2,11.0,6.666643849555505e-06,55,9965.0,0.04876667226306246,57,9976.0
400.0,63,10763.0,143.50666666666666,1.6891938971521265,2,21.0,0.27431947159381087,55,10239.0,0.0,57,10260.0
405.0,64,11081.0,153.90277777777777,0.9717407806926089,3,34.0,0.244848183994507,55,10514.0,0.0,58,10548.0
410.0,66,11404.0,156.21917808219177,0.7280626993040191,4,52.0,2.2480381873728238e-05,55,10789.0,0.01581223394194466,59,10841.0
415.0,65,11729.0,158.5,1.1386752325677374,4,72.0,0.0,55,11064.0,0.02416206896982545,59,11136.0
420.0,67,12056.0,156.57142857142858,0.992393680796298,4,92.0,0.21697038324729104,56,11341.0,2.274790860750419e-05,60,11433.0
425.0,69,12398.0,158.94871794871796,0.7093248083410112,7,124.0,0.01966507838132108,56,11621.0,0.016622400314205872,63,11745.0
430.0,71,12743.0,159.2875,0.7932950228480322,7,154.0,0.11247258855078135,57,11906.0,0.0,64,12060.0
435.0,73,13102.0,157.85542168674698,1.101088947623289,7,189.0,0.04586673816188152,57,12191.0,0.0,64,12380.0
440.0,75,13468.0,160.33333333333334,0.9061706577685926,9,230.0,1.95842922078064e-06,57,12476.0,0.0,66,12706.0
445.0,78,13854.0,162.98823529411766,0.49468500373449453,9,275.0,0.06571059445407149,57,12761.0,0.0,66,13036.0
450.0,80,14242.0,161.8409090909091,0.6801500227078983,11,328.0,0.09225087330591061,57,13046.0,0.0,68,13374.0
455.0,81,14644.0,159.17391304347825,1.0699185817264831,12,387.0,0.007813406117717168,57,13338.0,0.03013068663134817,69,13725.0
460.0,85,15056.0,163.65217391304347,0.8183334260210273,13,451.0,0.09404671600671798,58,13626.0,0.04133046493356645,71,14077.0
465.0,86,15475.0,161.19791666666666,0.7114111330617967,13,516.0,0.09282078036856725,59,13919.0,0.009139962852754448,72,14435.0
470.0,88,15906.0,163.97938144329896,0.8132331005705262,13,581.0,0.12156559505468537,62,14220.0,0.014348069120632285,75,14801.0
475.0,92,16353.0,166.8673469387755,0.4206103172851221,15,652.0,0.11609764829091998,62,14529.0,1.0075631490904834e-06,77,15181.0
480.0,93,16816.0,171.59183673469389,0.5086881375918503,15,727.0,0.05931277906352891,62,14839.0,0.020124500864731228,77,15566.0
485.0,94,17281.0,172.81,0.5184441006489018,15,802.0,0.0,62,15150.0,0.005264340678956093,77,15952.0
490.0,94,17749.0,177.49,0.6611442105623275,15,877.0,0.0,63,15463.0,7.350663946181655e-07,78,16340.0
495.0,94,18219.0,180.3861386138614,0.586757420094465,15,952.0,0.1025429670404896,63,15778.0,0.0,78,16730.0
500.0,95,18692.0,183.2549019607843,0.7665833244115675,15,1027.0,0.09664790273298696,63,16093.0,0.014209879486072483,78,17120.0
505.0,96,19170.0,182.57142857142858,0.48880967613750104,15,1102.0,0.003669522565309947,64,16411.0,0.0,79,17513.0
510.0,98,19658.0,187.21904761904761,0.7130387957996439,16,1181.0,0.10749269537623601,64,16731.0,0.014679974934128846,80,17912.0
515.0,98,20148.0,186.55555555555554,0.9782614258125276,16,1261.0,0.07780652339386342,64,17051.0,0.020527986004294348,80,18312.0
520.0,99,20639.0,191.10185185185185,0.8094392994759637,17,1342.0,0.13049454856708395,64,17371.0,0.01430595252701586,81,18713.0
525.0,101,21140.0,193.94495412844037,0.481869020710934,18,1430.0,0.03225059893766914,64,17691.0,0.015055298121458028,82,19121.0
530.0,104,21654.0,195.0810810810811,0.5912469826283809,21,1529.0,0.021050585678655986,64,18011.0,0.0,85,19540.0
535.0,105,22177.0,196.2566371681416,0.6589377717119625,21,1634.0,0.11030007292317108,64,18331.0,0.0,85,19965.0
540.0,107,22704.0,195.72413793103448,0.6859853069785026,22,1741.0,0.0741714936749475,64,18651.0,0.0031749709503135263,86,20392.0
545.0,109,23242.0,196.96610169491527,0.7393074403743028,23,1852.0,0.06508165648431113,65,18975.0,0.011791891193211052,88,20827.0
550.0,110,23789.0,201.60169491525423,0.6424108774296449,24,1969.0,6.673779932453557e-06,65,19300.0,0.03875225734840609,89,21269.0
555.0,111,24316.0,199.31147540983608,0.6984433074645406,24,2089.0,0.013888551478676778,65,19625.0,0.01656885950487303,89,21714.0
560.0,112,24867.0,203.827868852459,0.8284128661521077,25,2213.0,0.06860103814409471,65,19950.0,0.0,90,22163.0
565.0,116,25429.0,205.07258064516128,0.6132295717507529,27,2343.0,0.06173280164885755,65,20275.0,0.0,92,22618.0
570.0,117,26002.0,209.69354838709677,0.41641829105928296,28,2479.0,0.00035796959882628367,65,20600.0,0.0033711005894195775,93,23079.0
575.0,119,26593.0,211.05555555555554,0.351735028487792,28,2619.0,0.03060152160466264,66,20930.0,1.654469538641636e-07,94,23549.0
580.0,123,27200.0,212.5,0.3638924616268626,29,2762.0,6.149476247158935e-06,66,21260.0,0.0,95,24022.0
585.0,124,27815.0,210.71969696969697,0.556391411574829,29,2907.0,0.06494959240057654,66,21590.0,0.010224424948505367,95,24497.0
590.0,125,28437.0,213.81203007518798,0.5500135635915421,30,3055.0,0.05213841164123865,66,21920.0,0.006832236412120121,96,24975.0
595.0,125,29062.0,220.16666666666666,0.3486110046305644,30,3205.0,0.06256811823907577,66,22251.0,0.013988931611442138,96,25456.0
600.0,116,28242.0,209.2,0.7762163547677715,20,2669.0,0.04854844956294325,66,22582.0,0.021343446187519793,86,25251.0
605.0,114,28495.0,207.992700729927,1.0508800819190842,15,2215.0,0.09173791254808072,67,22918.0,0.011293726740787803,82,25133.0
610.0,122,29085.0,206.27659574468086,1.0646733248907823,18,2258.0,0.06533216096587673,71,23267.0,0.026418724435219414,89,25525.0
615.0,127,29705.0,210.67375886524823,0.9182962246487542,21,2357.0,0.060334537299375074,73,23627.0,0.02056416263668458,94,25984.0
620.0,128,29910.0,212.12765957446808,0.7245213799522626,21,2286.0,0.12478684518121905,74,23993.0,0.0,95,26279.0
625.0,129,30349.0,215.24113475177305,0.7742289822560451,21,2130.0,0.12156742730931154,74,24363.0,1.23640698879669e-07,95,26493.0
630.0,128,30985.0,216.67832167832168,0.6701940671088518,21,2170.0,0.014111240488212176,74,24733.0,0.00688629004045232,95,26903.0
635.0,135,31643.0,221.27972027972027,0.6496338151968405,25,2291.0,0.054807528631482284,75,25104.0,5.125443782700394e-05,100,27395.0
640.0,136,32270.0,227.25352112676057,0.3217632629781781,24,2371.0,0.0,76,25480.0,2.2483280023485863e-05,100,27851.0
645.0,136,32945.0,233.65248226950354,0.3260850084076417,24,2491.0,0.07067663517219534,76,25825.0,0.00015244996393783112,100,28316.0
650.0,136,33625.0,235.13986013986013,0.3659029537553085,24,2611.0,0.022297768427292867,77,26210.0,0.0,101,28821.0
655.0,137,34306.0,239.9020979020979,0.41531612944327717,24,2731.0,0.014837352403510662,77,26595.0,0.0,101,29326.0
660.0,135,34791.0,243.2937062937063,0.4423395008507426,22,2607.0,0.013424097494519399,77,26980.0,0.0,99,29587.0
665.0,134,35361.0,247.27972027972027,0.2393938707653034,21,2710.0,0.00901464447236816,77,27367.0,0.00023125198722217703,98,30077.0
670.0,140,36054.0,246.94520547945206,0.3029582116668688,25,2831.0,0.037922654731783724,78,27757.0,0.0,103,30588.0
675.0,141,36758.0,251.76712328767124,0.2854818592393486,25,2956.0,0.05688118431795775,78,28147.0,0.012584240592681787,103,31103.0
680.0,142,37468.0,249.78666666666666,0.4227464650361676,25,3081.0,0.05529539406795935,78,28537.0,0.0,103,31618.0
685.0,144,38181.0,251.19078947368422,0.5108342042604391,26,3207.0,0.06520001350348342,78,28927.0,0.01168594977554171,104,32134.0
690.0,145,38905.0,252.62987012987014,0.4360552155925274,26,3337.0,0.0,78,29317.0,0.012295752190480668,104,32654.0
695.0,146,39635.0,257.37012987012986,0.520588701463978,26,3467.0,0.048649852595760726,78,29707.0,0.0,104,33174.0
700.0,146,40365.0,262.11038961038963,0.4205706213731147,26,3597.0,0.06680867571320848,78,30097.0,0.012328110409769754,104,33694.0
705.0,149,41104.0,265.18709677419355,0.4364918384079342,27,3729.0,0.031713252103350305,78,30487.0,0.0,105,34216.0
710.0,150,41850.0,270.0,0.308484838477994,27,3864.0,0.0494597304141253,78,30877.0,0.0,105,34741.0
715.0,151,42603.0,274.85806451612905,0.27477829219560024,28,4002.0,1.265507941994049e-05,78,31267.0,0.0,106,35269.0
720.0,152,43360.0,279.741935483871,0.1600405668451709,29,4144.0,0.013666755192195101,78,31657.0,0.0,107,35801.0
725.0,154,44124.0,284.6709677419355,0.03575691107428915,30,4292.0,6.056576390100513e-06,78,32047.0,0.0,108,36339.0
730.0,154,44894.0,289.63870967741934,0.014733535925105712,30,4442.0,0.0,78,32437.0,0.0,108,36879.0
735.0,155,45668.0,290.8789808917197,0.0714060104817337,30,4592.0,0.0,78,32827.0,0.0,108,37419.0
740.0,155,46443.0,290.26875,0.17222819502326264,30,4742.0,0.0043431640720673174,78,33217.0,0.0,108,37959.0
745.0,157,47222.0,291.4938271604938,0.2886385238209537,31,4896.0,0.03774753609569801,78,33607.0,0.0,109,38503.0
750.0,157,48007.0,292.7256097560976,0.19422433551514484,32,5056.0,0.000255889305428252,78,33997.0,0.0,110,39053.0
755.0,159,48802.0,297.5731707317073,0.3643000832583132,33,5221.0,0.028176477542991293,78,34387.0,0.011536454026528158,111,39608.0
760.0,160,49600.0,300.6060606060606,0.3031303495013522,33,5386.0,0.0,78,34777.0,0.0,111,40163.0
765.0,160,50400.0,301.79640718562877,0.3626702208550753,33,5551.0,0.0,78,35167.0,0.0,111,40718.0
770.0,162,51202.0,306.5988023952096,0.28802519388828773,33,5716.0,0.026917547632796895,78,35557.0,0.0,111,41273.0
775.0,163,52011.0,307.7573964497041,0.2986857788989193,33,5881.0,0.0,78,35947.0,0.0,111,41828.0
780.0,167,52833.0,310.7823529411765,0.09362820993723717,35,6048.0,5.817762645504829e-05,78,36337.0,0.0,113,42385.0
785.0,169,53673.0,315.72352941176473,0.00996942322317038,35,6223.0,0.0,78,36727.0,0.0,113,42950.0
790.0,170,54523.0,320.72352941176473,4.467352643323057e-06,35,6398.0,0.0,78,37117.0,0.0,113,43515.0
795.0,171,55373.0,320.0751445086705,0.07110499056511037,35,6573.0,0.0,78,37507.0,0.0,113,44080.0
800.0,171,56223.0,323.12068965517244,0.11245406079598062,35,6748.0,0.0,78,37897.0,0.00949488270473358,113,44645.0
805.0,172,57081.0,324.3238636363636,0.12036427334314338,35,6923.0,0.020074743018582874,78,38287.0,0.0,113,45210.0
810.0,173,57946.0,327.3785310734463,0.16048629475475532,35,7098.0,0.03865719177484724,78,38677.0,0.0,113,45775.0
815.0,175,58819.0,332.31073446327684,0.1426323880130024,36,7277.0,0.026211749790551308,78,39067.0,0.0,114,46344.0
820.0,173,59127.0,332.1741573033708,0.20332591645597975,33,7195.0,0.011726470104646102,78,39457.0,0.0,111,46652.0
825.0,169,59616.0,334.92134831460675,0.49778545600972135,30,6758.0,0.026756954857875322,78,39847.0,0.0,108,46605.0
830.0,171,60463.0,337.78212290502796,0.4256847158206952,31,6909.0,0.0009233846385138032,78,40237.0,0.0,109,47146.0
835.0,173,61326.0,344.5280898876405,0.31859095071115934,32,7068.0,1.166404660972325e-06,78,40627.0,0.0,110,47695.0
840.0,174,62195.0,349.41011235955057,0.133687123106904,32,7228.0,0.0,78,41017.0,0.0,110,48245.0
845.0,176,63066.0,352.32402234636874,0.11076384980404168,32,7388.0,0.0,78,41407.0,0.0089774956202742,110,48795.0
850.0,177,63943.0,353.27624309392263,0.1782020648404685,32,7548.0,0.017148373340378165,78,41797.0,0.011582973472017814,110,49345.0
855.0,179,64829.0,354.2568306010929,0.22363954715138193,32,7708.0,0.021688613758895046,78,42187.0,0.00861393285822529,110,49895.0
860.0,179,65720.0,357.17391304347825,0.18336877127952939,32,7868.0,0.019938044395424404,78,42577.0,0.0,110,50445.0
865.0,181,66623.0,364.0601092896175,0.17232695790431665,32,8028.0,0.0,78,42967.0,0.0,110,50995.0
870.0,181,67528.0,369.0054644808743,0.17104403242644153,32,8188.0,0.0,78,43357.0,0.0,110,51545.0
875.0,180,68406.0,369.76216216216216,0.12222586521426992,32,8348.0,0.0,78,43747.0,0.0,110,52095.0
880.0,181,69242.0,372.26881720430106,0.046449866799244045,31,8443.0,0.0,78,44137.0,0.0,109,52580.0
885.0,185,70163.0,377.2204301075269,0.06590837050825486,31,8598.0,0.0,78,44527.0,0.0,109,53125.0
890.0,185,71088.0,384.25945945945944,0.0,31,8753.0,0.0,78,44917.0,0.0,109,53670.0
895.0,185,72013.0,387.1666666666667,0.044943179573703515,31,8908.0,0.0,78,45307.0,0.0,109,54215.0
900.0,185,72938.0,392.13978494623655,0.07363305759552101,31,9063.0,0.0,78,45697.0,0.0,109,54760.0
905.0,185,73863.0,397.11290322580646,0.036702526391438006,31,9218.0,0.014843702128664737,78,46087.0,0.0,109,55305.0
910.0,185,74788.0,402.0860215053763,0.03903999741455321,31,9373.0,0.0,78,46477.0,0.0,109,55850.0
