step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.1383186049293723,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.903583612931236,0,0.0,0.9126083091295528,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,9.70821176177114,0,0.0,0.6160896370415053,0,0.0,0.9766966424424093,0,0.0
20.0,1,3.0,0.375,6.305009598959481,1,3.0,0.3593132033296346,0,0.0,0.22855769264337844,1,3.0
25.0,2,13.0,1.3,7.4590538696484945,1,8.0,0.6163618370297513,1,5.0,0.5375581087312985,2,13.0
30.0,2,23.0,2.090909090909091,6.4451356179309975,1,13.0,0.19935860742335162,1,10.0,0.613357736375217,2,23.0
35.0,4,38.0,2.533333333333333,5.897503045990126,2,20.0,0.0004063862376795072,2,18.0,0.14065776929572935,4,38.0
40.0,6,62.0,3.875,6.659468647412848,2,30.0,0.22784113646826018,3,32.0,0.0,5,62.0
45.0,7,88.0,5.866666666666666,5.548560631726911,3,41.0,0.22084543472424975,3,47.0,0.48102355555830706,6,88.0
50.0,8,119.0,7.0,4.575380250680181,3,56.0,0.24957662418790214,4,63.0,0.08386763287787163,7,119.0
55.0,9,162.0,9.0,4.291272683269995,3,71.0,0.008009017659761468,6,91.0,0.1352177992120726,9,162.0
60.0,10,211.0,11.722222222222221,4.462400035493453,4,90.0,2.6002326725681794e-05,6,121.0,0.13044963586752417,10,211.0
65.0,11,264.0,14.666666666666666,3.982354420792115,4,110.0,0.0,7,154.0,0.11114543489645563,11,264.0
70.0,12,319.0,16.789473684210527,3.4885524433222748,4,130.0,0.15139454602152666,7,189.0,0.19873843593814566,11,319.0
75.0,13,377.0,16.391304347826086,3.6404326193821723,5,153.0,0.0,7,224.0,0.015187582292051081,12,377.0
80.0,15,440.0,19.130434782608695,4.106607676686597,5,178.0,0.2122366159273709,8,262.0,0.1811975266254634,13,440.0
85.0,15,509.0,22.130434782608695,2.8626631924870067,6,206.0,0.07781795797711687,9,303.0,0.09063928658718587,15,509.0
90.0,17,592.0,24.666666666666668,2.8935327223998732,8,244.0,0.2042538857935689,9,348.0,0.007957572329079638,17,592.0
95.0,18,681.0,26.192307692307693,2.9379334193420865,8,284.0,0.0,10,397.0,0.17610697972757366,18,681.0
100.0,15,669.0,26.76,3.6537324586873767,5,222.0,0.059907499558349654,10,447.0,0.10414586001457637,15,669.0
105.0,17,750.0,30.0,2.653893346670655,6,250.0,0.0001139079365056525,11,500.0,0.03793616287101289,17,750.0
110.0,21,847.0,33.88,1.2519338658943024,6,280.0,1.948901058047677e-06,14,567.0,0.06151615048729378,20,847.0
115.0,21,947.0,36.42307692307692,2.116402546369659,6,310.0,0.13591943804639348,14,637.0,0.0,20,947.0
120.0,20,1047.0,37.392857142857146,2.5515544308912017,6,340.0,0.0033068710795326186,14,707.0,0.04993570627756102,20,1047.0
125.0,22,1153.0,36.03125,2.400078236459321,7,375.0,0.11981952963089017,14,777.0,0.03210428545395053,21,1152.0
130.0,24,1271.0,38.515151515151516,2.5607629951170883,7,410.0,0.18710143505812585,16,855.0,0.039140239153702086,23,1265.0
135.0,25,1394.0,41.0,2.2672316227504417,7,445.0,0.09894667182577435,16,935.0,0.06880406133599927,23,1380.0
140.0,24,1206.0,35.470588235294116,2.0726031831850475,5,355.0,0.05174290456644336,16,1015.0,0.05539145336590302,21,1370.0
145.0,20,1168.0,34.35294117647059,2.700198946035254,2,125.0,0.343429424806847,17,1101.0,0.08808772819756128,19,1226.0
150.0,21,1263.0,33.23684210526316,3.5058564634951495,3,167.0,0.25739925642062006,18,1190.0,0.18381681186390395,21,1357.0
155.0,24,1379.0,32.833333333333336,2.7339400656988975,5,194.0,0.16409267490756238,19,1284.0,0.07082540525752816,24,1478.0
160.0,31,1526.0,34.68181818181818,2.7876703429696734,8,231.0,0.29309575551965417,23,1394.0,0.03847467221783581,31,1625.0
165.0,31,1641.0,36.46666666666667,2.6239127362562495,7,216.0,0.09443469326117583,23,1509.0,0.026886142000981716,30,1725.0
170.0,30,1770.0,39.333333333333336,2.941507462096994,7,185.0,0.25228534536596875,23,1626.0,0.10844600000050525,30,1811.0
175.0,31,1907.0,43.34090909090909,2.3899166227628745,6,178.0,0.13404286718894856,25,1748.0,0.16784960766996304,31,1926.0
180.0,35,2071.0,47.06818181818182,1.6402126021054044,6,208.0,0.0875948089275732,29,1882.0,0.023285048644906308,35,2090.0
185.0,40,2258.0,50.17777777777778,0.948542033564084,7,240.0,0.0018325879332251678,32,2037.0,0.00010261257258374605,39,2277.0
190.0,40,2457.0,53.41304347826087,1.0638186544209811,8,279.0,9.209449389683946e-06,32,2197.0,1.0421284669597445e-06,40,2476.0
195.0,41,2657.0,57.76086956521739,1.3585165392855436,8,319.0,0.181879959659216,32,2357.0,0.0,40,2676.0
200.0,42,2859.0,59.5625,0.9230879200645675,9,361.0,2.8409000686427808e-05,32,2517.0,0.03700354197261987,41,2878.0
