step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.466384167771473,0,0.0,0.8986031918118229,0,0.0
10.0,0,0.0,0.0,11.810396450633485,0,0.0,0.8601421493169726,0,0.0
15.0,5,7.0,0.3888888888888889,6.118921622455137,5,7.0,0.3865173330625266,5,7.0
20.0,10,50.0,2.7777777777777777,5.363890627175346,10,50.0,0.31613525728057973,10,50.0
25.0,10,82.0,3.727272727272727,4.393284576458736,10,82.0,0.2854611338560417,10,82.0
30.0,12,139.0,6.318181818181818,5.328248760928958,12,139.0,0.26964266462051745,12,139.0
35.0,9,107.0,4.115384615384615,5.792295652545979,9,159.0,0.30464128310861793,9,159.0
40.0,6,107.0,3.689655172413793,7.460662005931612,6,136.0,0.43354583030229354,6,136.0
45.0,2,13.0,0.40625,8.473749702356095,2,81.0,0.4894142385972851,2,81.0
50.0,10,47.0,1.6206896551724137,7.564575442195996,10,59.0,0.30150387880092694,10,59.0
55.0,8,59.0,1.9666666666666666,7.322121966885749,8,91.0,0.32678198568313277,8,91.0
60.0,5,64.0,2.6666666666666665,7.485190031401821,5,74.0,0.3004703971241211,5,74.0
65.0,4,6.0,0.21428571428571427,7.908904757284412,4,50.0,0.4089579393765403,4,50.0
70.0,8,34.0,1.5454545454545454,7.6112974647980955,8,44.0,0.37119246702972025,8,44.0
75.0,3,13.0,0.40625,9.00317926376149,3,49.0,0.5539722027857684,3,49.0
80.0,0,0.0,0.0,10.816628055505156,0,15.0,0.7490722163729201,0,15.0
85.0,1,1.0,0.03333333333333333,8.617942019220774,1,4.0,0.4722795152658118,1,4.0
90.0,12,40.0,1.6666666666666667,5.0947085967454955,12,43.0,0.26181798501287007,12,43.0
95.0,8,60.0,2.5,3.5952557782557037,8,85.0,0.2631264468391015,8,85.0
100.0,8,86.0,3.3076923076923075,6.295508308692415,8,97.0,0.3798540600881509,8,97.0
105.0,8,59.0,1.9666666666666666,6.2899797370675,8,100.0,0.3576508362904776,8,100.0
110.0,14,114.0,3.4545454545454546,6.366136409203839,14,125.0,0.3515570242576764,14,125.0
115.0,10,86.0,2.6875,5.812653256900223,10,140.0,0.318980874340956,10,140.0
120.0,14,153.0,5.1,5.236382922369504,14,164.0,0.262925103305192,14,164.0
125.0,16,123.0,3.6176470588235294,4.519049518881398,16,198.0,0.17554740491680026,16,198.0
130.0,8,58.0,1.8125,5.688043683849687,8,182.0,0.2894764718755886,8,182.0
135.0,8,37.0,1.088235294117647,5.3657753474902865,8,192.0,0.26631521472475855,8,192.0
140.0,14,93.0,3.0,4.4901107970075715,14,226.0,0.22189292789992757,14,226.0
145.0,15,116.0,3.2222222222222223,4.590655956920624,15,249.0,0.22714669937466875,15,249.0
150.0,10,113.0,2.973684210526316,6.690600156225585,10,226.0,0.4285167672097751,10,226.0
155.0,8,130.0,3.4210526315789473,5.877380270774696,8,221.0,0.23945624806863655,8,221.0
160.0,19,199.0,4.975,4.43218443075553,19,290.0,0.22161021305284642,19,290.0
165.0,20,131.0,3.638888888888889,2.032866745231537,20,320.0,0.08043685094898936,20,320.0
170.0,24,223.0,5.575,4.066494077388007,24,332.0,0.2032020807268694,24,332.0
175.0,23,236.0,5.9,3.2229062806037545,23,376.0,0.08242393475736852,23,376.0
180.0,15,179.0,4.365853658536586,4.62056701300266,15,368.0,0.18136933573145125,15,368.0
185.0,12,153.0,3.558139534883721,6.78552470148318,12,311.0,0.3122388781212336,12,311.0
190.0,7,69.0,1.6829268292682926,6.230910295472047,7,292.0,0.3751246729187385,7,292.0
195.0,13,123.0,3.1538461538461537,5.15755974964967,13,289.0,0.21980301866253407,13,289.0
200.0,13,154.0,3.7560975609756095,4.984878579648049,13,320.0,0.1967833524915857,13,320.0
