step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
205.0,15,182.0,4.7894736842105265,4.391366820501148,15,298.0,0.15948557784418296,15,298.0
210.0,7,37.0,0.9487179487179487,4.990380937415911,7,277.0,0.2721896179982223,7,277.0
215.0,8,38.0,1.0555555555555556,4.7661587359729,8,206.0,0.1900677851518844,8,206.0
220.0,14,48.0,1.0666666666666667,6.016069044955522,14,194.0,0.33245791425803545,14,194.0
225.0,10,48.0,1.1428571428571428,6.177789419596461,10,166.0,0.3214933233198855,10,166.0
230.0,8,49.0,1.1136363636363635,6.464804738295396,8,145.0,0.29610108622712333,8,145.0
235.0,10,33.0,0.8461538461538461,4.932943423600902,10,152.0,0.23395793594928868,10,152.0
240.0,14,93.0,2.3846153846153846,5.559970988180699,14,179.0,0.24935033969700568,14,179.0
245.0,14,115.0,3.026315789473684,3.953376648871938,14,216.0,0.12751079692328984,14,216.0
250.0,11,130.0,3.3333333333333335,5.655551728657853,11,208.0,0.2699468701868418,11,208.0
255.0,9,162.0,3.951219512195122,6.867826558263601,9,192.0,0.32591044956394305,9,192.0
260.0,7,94.0,2.292682926829268,7.3169901047180295,7,176.0,0.4301669885710085,7,176.0
265.0,13,148.0,4.0,5.6996496661227045,13,178.0,0.2682639659516713,13,178.0
270.0,13,171.0,4.384615384615385,5.116573479078411,13,221.0,0.20810444804641878,13,221.0
275.0,9,187.0,5.5,5.486459114401546,9,235.0,0.22702123635409774,9,235.0
280.0,5,108.0,2.918918918918919,6.46257737353123,5,202.0,0.3208291541746364,5,202.0
285.0,9,143.0,4.333333333333333,5.565119894623129,9,186.0,0.20201690632378258,9,186.0
290.0,12,155.0,3.875,5.747286757220995,12,213.0,0.32150090147435767,12,213.0
295.0,7,153.0,3.923076923076923,7.2541331003028695,7,216.0,0.4275698286720504,7,216.0
300.0,4,29.0,0.7837837837837838,5.782805616142602,4,105.0,0.2998650298145294,4,105.0
305.0,14,85.0,2.2972972972972974,4.194974407481915,14,161.0,0.16864912336322763,14,161.0
310.0,17,121.0,3.27027027027027,3.1207607029846427,17,209.0,0.1181923182586974,17,209.0
315.0,15,153.0,4.135135135135135,4.354698595993342,15,226.0,0.20273020840692121,15,226.0
320.0,5,72.0,1.8461538461538463,5.3213194715573815,5,214.0,0.251476785186787,5,214.0
325.0,10,112.0,2.731707317073171,5.7299476559068045,10,205.0,0.28931259231582285,10,205.0
330.0,13,139.0,3.475,4.553500775294119,13,235.0,0.21019110044843423,13,235.0
335.0,12,159.0,3.975,5.314399732275579,12,236.0,0.27096123464144733,12,236.0
340.0,11,184.0,4.6,5.972111665105581,11,228.0,0.19520925616573123,11,228.0
345.0,7,58.0,1.45,5.9558510883738505,7,194.0,0.2801548356702389,7,194.0
350.0,11,93.0,2.5135135135135136,5.147360425050309,11,147.0,0.21656048061247207,11,147.0
355.0,14,126.0,3.3157894736842106,4.816947624598645,14,187.0,0.210644737995422,14,187.0
360.0,8,141.0,4.2727272727272725,3.8961963716993373,8,197.0,0.11022918094866364,8,197.0
365.0,5,24.0,0.5581395348837209,6.573977379910323,5,167.0,0.3890143347442852,5,167.0
370.0,9,50.0,1.2820512820512822,5.631087802059824,9,119.0,0.3059973078547063,9,119.0
375.0,14,69.0,1.6046511627906976,3.9821679784925457,14,152.0,0.18206565465706875,14,152.0
380.0,15,98.0,2.45,4.034248776007822,15,182.0,0.14711983538486398,15,182.0
385.0,12,144.0,3.3488372093023258,6.349864815794893,12,195.0,0.2965480143614041,12,195.0
390.0,9,134.0,3.35,5.6255785569674055,9,212.0,0.25283925924741196,9,212.0
395.0,15,194.0,5.105263157894737,5.18362446405867,15,237.0,0.22711089262038522,15,237.0
400.0,15,229.0,5.585365853658536,4.831149306330315,15,288.0,0.2296936064411293,15,288.0
405.0,11,248.0,5.904761904761905,6.515697315225499,11,308.0,0.35044511214366797,11,308.0
410.0,6,90.0,2.25,4.730516425275221,6,249.0,0.19647822563546233,6,249.0
415.0,13,139.0,3.5641025641025643,5.381626878932257,13,201.0,0.2570868818567107,13,201.0
420.0,14,164.0,4.4324324324324325,3.764627493899255,14,240.0,0.095032197627161,14,240.0
425.0,12,189.0,4.973684210526316,5.2444884538312415,12,260.0,0.25084436448636094,12,260.0
430.0,9,224.0,6.222222222222222,6.396186251915833,9,265.0,0.2340954207962963,9,265.0
435.0,11,156.0,3.627906976744186,7.170795987133784,11,197.0,0.43092638825261437,11,197.0
440.0,16,226.0,5.794871794871795,5.682546911717379,16,267.0,0.3324089979435776,16,267.0
445.0,16,267.0,6.512195121951219,3.1200081131271804,16,323.0,0.18103798293055273,16,323.0
450.0,18,323.0,8.075,3.9615261544698797,18,374.0,0.2064766456000907,18,374.0
455.0,14,173.0,3.9318181818181817,4.647386838001808,14,349.0,0.20990348804560097,14,349.0
460.0,17,201.0,4.785714285714286,5.116637317242211,17,293.0,0.22840586655826503,17,293.0
465.0,17,238.0,5.534883720930233,4.735620402946226,17,317.0,0.20248157388937563,17,317.0
470.0,14,263.0,5.717391304347826,5.520858157578487,14,330.0,0.24596762593045504,14,330.0
475.0,10,132.0,3.0697674418604652,5.951789677663181,10,307.0,0.32113558776492335,10,307.0
480.0,15,167.0,4.175,4.655635298338373,15,263.0,0.1878089907875975,15,263.0
485.0,19,215.0,5.119047619047619,4.108429493333272,19,297.0,0.14781862976707227,19,297.0
490.0,15,250.0,6.25,4.804464256770165,15,328.0,0.19156013954570444,15,328.0
495.0,11,156.0,3.8048780487804876,5.033296713317575,11,309.0,0.22085933920729273,11,309.0
500.0,13,187.0,4.794871794871795,5.224896216151851,13,274.0,0.23840556726356554,13,274.0
505.0,16,220.0,5.238095238095238,4.363873836008287,16,318.0,0.21044826935922278,16,318.0
510.0,14,247.0,5.488888888888889,6.429417593361539,14,343.0,0.3580720840459283,14,343.0
515.0,11,152.0,3.619047619047619,5.289679272749397,11,252.0,0.2569581399955775,11,252.0
520.0,22,233.0,5.5476190476190474,3.4348851178731232,22,333.0,0.1669982332194011,22,333.0
525.0,22,300.0,7.317073170731708,2.5610304506290342,22,410.0,0.09300712947302936,22,410.0
530.0,20,352.0,8.0,4.296058999002821,20,452.0,0.20074962421301787,20,452.0
535.0,14,258.0,6.0,4.02793305004874,14,454.0,0.15064142897147154,14,454.0
540.0,17,297.0,7.2439024390243905,3.900073164308486,17,405.0,0.17435373157816705,17,405.0
545.0,18,328.0,6.9787234042553195,4.611649627543646,18,444.0,0.19624332130916758,18,444.0
550.0,17,357.0,7.4375,5.0479038323522145,17,456.0,0.22808735917221562,17,456.0
555.0,17,404.0,8.782608695652174,5.045603088167878,17,478.0,0.18390730121852467,17,478.0
560.0,12,134.0,2.9130434782608696,5.511331609411346,12,393.0,0.2804816757329299,12,393.0
565.0,11,106.0,2.5238095238095237,4.832008341060321,11,252.0,0.22314879186974643,11,252.0
570.0,14,80.0,1.8604651162790697,4.282252707634393,14,263.0,0.1895151295502667,14,263.0
575.0,23,179.0,4.7105263157894735,3.5779569382595207,23,311.0,0.10034999751297262,23,311.0
580.0,22,196.0,4.083333333333333,5.4337006179959175,22,379.0,0.2948137507523575,22,379.0
585.0,15,147.0,3.340909090909091,5.4400360432687185,15,379.0,0.27468357014629086,15,379.0
590.0,12,123.0,2.617021276595745,5.919562706619472,12,341.0,0.24869267638570836,12,341.0
595.0,10,69.0,1.6428571428571428,4.8883350510349075,10,303.0,0.23364145082620974,10,303.0
600.0,12,109.0,2.658536585365854,4.835267840777113,12,286.0,0.2157187243606898,12,286.0
605.0,17,148.0,3.6097560975609757,3.7152137544797967,17,325.0,0.12159573683460945,17,325.0
610.0,14,184.0,4.487804878048781,4.6762222014245785,14,322.0,0.1993346025013988,14,322.0
615.0,10,100.0,2.272727272727273,4.463820572764612,10,323.0,0.23278010088813147,10,323.0
620.0,12,133.0,2.9555555555555557,5.647825503384461,12,303.0,0.3214404307333927,12,303.0
625.0,12,148.0,3.2888888888888888,3.966243984911877,12,303.0,0.17341846306916614,12,303.0
630.0,16,169.0,3.6739130434782608,4.951557006651108,16,272.0,0.2155738207581106,16,272.0
635.0,12,215.0,5.119047619047619,5.472297083491425,12,290.0,0.18180554356109085,12,290.0
640.0,11,163.0,3.7045454545454546,5.830814422823509,11,290.0,0.30062804436436197,11,290.0
645.0,15,214.0,5.783783783783784,4.618925255103145,15,278.0,0.1928313766709195,15,278.0
650.0,18,254.0,5.521739130434782,5.451124649430858,18,334.0,0.2879485183386215,18,334.0
655.0,13,279.0,6.340909090909091,6.310388547772595,13,364.0,0.35015310552355783,13,364.0
660.0,6,158.0,3.590909090909091,4.808858246901289,6,332.0,0.22025909107888034,6,332.0
665.0,15,203.0,4.613636363636363,4.7328938871705075,15,302.0,0.2001262279195764,15,302.0
670.0,18,245.0,5.6976744186046515,3.744487653849806,18,346.0,0.13740746229956347,18,346.0
675.0,16,279.0,6.340909090909091,4.74587756459812,16,353.0,0.17440646519569547,16,353.0
680.0,11,112.0,2.731707317073171,5.116346661298942,11,226.0,0.24085679290931872,11,226.0
685.0,15,172.0,4.0,4.530495298413833,15,253.0,0.21511921543403936,15,253.0
690.0,17,223.0,5.309523809523809,3.8590781912399836,17,308.0,0.205290397393722,17,308.0
695.0,15,259.0,6.166666666666667,4.438430859630163,15,321.0,0.21721697568738713,15,321.0
700.0,12,172.0,4.0,3.8348805092689435,12,330.0,0.15794955001771482,12,330.0
705.0,15,232.0,5.395348837209302,4.693284718443187,15,313.0,0.21293972770035785,15,313.0
710.0,17,271.0,6.3023255813953485,3.5092627264143315,17,363.0,0.10263941206118116,17,363.0
715.0,15,310.0,7.209302325581396,4.920714834592948,15,374.0,0.20641913827141586,15,374.0
720.0,9,83.0,2.075,4.039713513877949,9,319.0,0.12580772766249063,9,319.0
725.0,13,89.0,1.8936170212765957,6.179900710308975,13,216.0,0.3538914115760969,13,216.0
730.0,15,119.0,2.6444444444444444,4.739891177560004,15,236.0,0.21164270226200554,15,236.0
735.0,18,141.0,3.1333333333333333,4.136015820273158,18,236.0,0.18843438916443486,18,236.0
740.0,10,61.0,1.3863636363636365,4.069848650778983,10,250.0,0.16243223607096724,10,250.0
745.0,15,120.0,2.6666666666666665,4.853750894373616,15,237.0,0.22884673417573906,15,237.0
750.0,15,153.0,3.558139534883721,3.7400287170014317,15,279.0,0.12012276252291464,15,279.0
755.0,13,178.0,4.1395348837209305,4.581288403834245,13,289.0,0.1943439481203238,13,289.0
760.0,13,224.0,4.869565217391305,6.363972351281854,13,293.0,0.28308157134821427,13,293.0
765.0,8,116.0,2.577777777777778,6.102309312434413,8,258.0,0.3442430523322469,8,258.0
770.0,15,172.0,4.095238095238095,4.99183185216564,15,227.0,0.20588232999709527,15,227.0
775.0,17,212.0,4.818181818181818,4.761243980157404,17,281.0,0.19241963321037764,17,281.0
780.0,14,244.0,6.256410256410256,4.162214180157278,14,298.0,0.0973786716476578,14,298.0
785.0,9,130.0,3.0952380952380953,5.480142827414983,9,287.0,0.26975548344561584,9,287.0
790.0,12,160.0,4.324324324324325,4.1337531715270215,12,246.0,0.16742554630981205,12,246.0
795.0,14,183.0,3.893617021276596,5.6160837787929125,14,274.0,0.32675511581825495,14,274.0
800.0,11,188.0,4.177777777777778,6.329530209304939,11,271.0,0.32151081498604234,11,271.0
805.0,5,65.0,1.3829787234042554,5.616495623501795,5,153.0,0.283242895942891,5,153.0
810.0,16,129.0,3.1463414634146343,4.1903477633399815,16,217.0,0.17135438292757044,16,217.0
815.0,17,179.0,4.261904761904762,3.49270597339817,17,271.0,0.15074413938769685,17,271.0
820.0,17,223.0,5.575,3.7299567777761737,17,301.0,0.15878410635570175,17,301.0
825.0,8,139.0,3.159090909090909,5.168530307980663,8,290.0,0.24686523580431605,8,290.0
830.0,13,185.0,4.204545454545454,4.8687696145666175,13,274.0,0.2624679500265226,13,274.0
835.0,14,209.0,4.644444444444445,4.930375590494808,14,307.0,0.2517079755880328,14,307.0
840.0,12,226.0,5.255813953488372,4.629757586767654,12,301.0,0.19859034272920117,12,301.0
845.0,11,51.0,1.1590909090909092,4.61486555246726,11,257.0,0.21381723242834047,11,257.0
850.0,12,85.0,2.125,4.290924054901813,12,196.0,0.19319519761897608,12,196.0
855.0,17,119.0,2.7674418604651163,3.903247328557335,17,240.0,0.16103781167585499,17,240.0
860.0,15,142.0,3.55,3.977259466989564,15,259.0,0.18242207323320353,15,259.0
865.0,13,181.0,4.022222222222222,6.324342267220902,13,268.0,0.2948949292435421,13,268.0
870.0,7,80.0,1.7391304347826086,6.366754357823141,7,248.0,0.3829911614415663,7,248.0
875.0,10,93.0,2.268292682926829,5.177579905712507,10,208.0,0.2833712791338063,10,208.0
880.0,14,117.0,2.6,4.120471490132243,14,225.0,0.1633948209330852,14,225.0
885.0,16,157.0,3.8292682926829267,4.0655338168422785,16,238.0,0.12375438097451225,16,238.0
890.0,11,73.0,1.6590909090909092,4.778251576063368,11,224.0,0.22642593945439504,11,224.0
895.0,16,120.0,2.926829268292683,4.523300192446169,16,219.0,0.16201493028372344,16,219.0
900.0,16,159.0,3.8780487804878048,3.580394801094527,16,268.0,0.13754990004259823,16,268.0
905.0,14,186.0,4.2272727272727275,5.159432156209681,14,265.0,0.2114051502287923,14,265.0
910.0,6,92.0,2.0,6.058778315053568,6,253.0,0.31175036597808536,6,253.0
915.0,9,118.0,2.8780487804878048,4.483445862846279,9,217.0,0.19845302925942518,9,217.0
920.0,16,153.0,3.558139534883721,4.328850281637053,16,259.0,0.19238403802484022,16,259.0
925.0,12,183.0,4.357142857142857,4.4335346700002,12,278.0,0.14489058849054695,12,278.0
930.0,11,128.0,3.0476190476190474,5.147851890488348,11,232.0,0.23753399893252933,11,232.0
935.0,16,198.0,5.5,2.3335894637082943,16,302.0,0.09519518911101149,16,302.0
940.0,19,250.0,5.319148936170213,4.591643633576196,19,361.0,0.2911994260848988,19,361.0
945.0,15,286.0,6.355555555555555,4.487632300907826,15,392.0,0.23704913452742213,15,392.0
950.0,14,157.0,3.0784313725490198,4.084962353107462,14,367.0,0.19170510551091177,14,367.0
955.0,19,238.0,5.173913043478261,3.445972260778205,19,355.0,0.13894960927783379,19,355.0
960.0,22,288.0,5.877551020408164,3.263047474813889,22,418.0,0.1161727391284919,22,418.0
965.0,23,346.0,7.521739130434782,3.158557688914041,23,464.0,0.11062250116550192,23,464.0
970.0,16,168.0,3.4285714285714284,3.750957586951779,16,452.0,0.16621357422272348,16,452.0
975.0,14,140.0,2.7450980392156863,4.421724064381297,14,373.0,0.2302608974590474,14,373.0
980.0,17,170.0,3.207547169811321,4.7998181163147695,17,373.0,0.26004642829418195,17,373.0
985.0,16,193.0,3.784313725490196,3.7111635321956116,16,379.0,0.14640488075966154,16,379.0
990.0,17,156.0,3.0,3.9745221173699434,17,404.0,0.1767220369597777,17,404.0
995.0,17,219.0,4.659574468085107,2.7834692377016754,17,443.0,0.08873318916498775,17,443.0
1000.0,20,272.0,5.230769230769231,3.6373829322555618,20,495.0,0.1527513735398407,20,495.0
1005.0,16,309.0,6.4375,3.5578668239704427,16,504.0,0.12271164819382618,16,504.0
1010.0,14,188.0,3.418181818181818,4.879373057912628,14,462.0,0.2667466182771456,14,462.0
1015.0,10,162.0,3.1153846153846154,5.041063345289927,10,389.0,0.28096474359409157,10,389.0
1020.0,12,170.0,3.269230769230769,4.444874630866679,12,358.0,0.2169709783510355,12,358.0
1025.0,15,196.0,3.69811320754717,3.9439211622766512,15,347.0,0.14003303156897667,15,347.0
1030.0,12,77.0,1.54,3.6419644658685466,12,245.0,0.14416873381574435,12,245.0
1035.0,19,149.0,2.98,3.101075984376651,19,313.0,0.12120206196456242,19,313.0
1040.0,19,159.0,3.3125,3.0240764702093172,19,362.0,0.14341927988651038,19,362.0
1045.0,26,264.0,5.176470588235294,3.4066087509951224,26,417.0,0.164851053732124,26,417.0
1050.0,27,296.0,5.584905660377358,3.919734246589236,27,479.0,0.150628985111826,27,479.0
1055.0,24,286.0,5.5,3.8566636095605276,24,494.0,0.13767050049428406,24,494.0
1060.0,24,283.0,5.66,4.652136797484655,24,488.0,0.15188367182461282,24,488.0
1065.0,16,274.0,6.088888888888889,5.53591579595824,16,510.0,0.2631408982756881,16,510.0
1070.0,9,75.0,1.744186046511628,5.58611961599596,9,441.0,0.2980223739986486,9,441.0
1075.0,13,101.0,2.4047619047619047,5.497505869305771,13,378.0,0.2755469832689697,13,378.0
1080.0,14,133.0,3.2439024390243905,3.807605707105474,14,392.0,0.1229856732944212,14,392.0
1085.0,12,149.0,3.0408163265306123,6.012030692610684,12,370.0,0.3225630836231235,12,370.0
1090.0,6,28.0,0.5833333333333334,4.971441835410439,6,332.0,0.2528186276143251,6,332.0
1095.0,14,63.0,1.2857142857142858,4.003964116286823,14,290.0,0.15927346744871337,14,290.0
1100.0,18,101.0,2.148936170212766,3.713735028589525,18,324.0,0.13867833273334917,18,324.0
1105.0,17,126.0,2.5714285714285716,4.267763853330939,17,277.0,0.16625210949699074,17,277.0
1110.0,16,175.0,3.8043478260869565,5.445328823314351,16,261.0,0.18430345978056065,16,261.0
1115.0,12,180.0,4.090909090909091,4.616482065270766,12,266.0,0.1865660177291983,12,266.0
1120.0,17,251.0,5.704545454545454,4.510058492610508,17,342.0,0.26290921601130646,17,342.0
1125.0,19,310.0,6.739130434782608,3.9558533497601873,19,413.0,0.23681777204548327,19,413.0
1130.0,17,349.0,7.425531914893617,3.575882935616769,17,451.0,0.15259444101774844,17,451.0
1135.0,15,208.0,4.078431372549019,4.733603338622724,15,413.0,0.2089165553003161,15,413.0
1140.0,17,264.0,5.739130434782608,3.8985807519310556,17,362.0,0.11532785983995468,17,362.0
1145.0,20,313.0,6.387755102040816,4.143895548631853,20,423.0,0.1761932009944414,20,423.0
1150.0,16,353.0,8.209302325581396,2.94821583162637,16,446.0,0.09290572078438562,16,446.0
1155.0,12,129.0,2.388888888888889,5.284474216552476,12,414.0,0.3050910255513194,12,414.0
1160.0,10,70.0,1.4285714285714286,5.12309907712583,10,289.0,0.2799149552042282,10,289.0
1165.0,16,88.0,1.6296296296296295,4.112835969359986,16,287.0,0.1915473441166811,16,287.0
1170.0,22,130.0,2.6,3.6060804568941505,22,310.0,0.1115880314670118,22,310.0
1175.0,16,144.0,2.823529411764706,3.834689560719196,16,343.0,0.16806394438817543,16,343.0
1180.0,16,193.0,3.86,4.2796174999747985,16,358.0,0.15316697290682507,16,358.0
1185.0,18,236.0,4.916666666666667,3.6939469727082765,18,404.0,0.15378592651408615,18,404.0
1190.0,15,267.0,5.235294117647059,4.170261373663466,15,411.0,0.20168509739921683,15,411.0
1195.0,10,107.0,2.0980392156862746,4.92341259395755,10,361.0,0.26041677154471427,10,361.0
1200.0,14,158.0,3.2916666666666665,3.876280887950555,14,313.0,0.1552881294720852,14,313.0
1205.0,17,189.0,3.857142857142857,4.051905399183084,17,348.0,0.14416465312810955,17,348.0
1210.0,15,223.0,4.74468085106383,3.8855067141218123,15,355.0,0.14626505221051303,15,355.0
1215.0,9,147.0,3.0625,4.130685237511375,9,345.0,0.17923699100161988,9,345.0
1220.0,11,166.0,3.688888888888889,3.8147218494117174,11,326.0,0.15888835108205032,11,326.0
1225.0,12,187.0,3.816326530612245,4.705238900726014,12,331.0,0.23664694994047863,12,331.0
1230.0,11,204.0,4.0,5.373550358264726,11,323.0,0.27344960985664163,11,323.0
1235.0,9,99.0,2.0625,3.954166301399134,9,239.0,0.19084422849480326,9,239.0
1240.0,19,164.0,3.28,3.1462524302339365,19,310.0,0.10911474439262014,19,310.0
1245.0,20,214.0,4.553191489361702,2.74436720372869,20,367.0,0.10363614301696969,20,367.0
1250.0,18,255.0,5.3125,3.114804189523395,18,386.0,0.14008708779582127,18,386.0
1255.0,11,148.0,3.020408163265306,3.903256906916103,11,341.0,0.15034166404200672,11,341.0
1260.0,15,199.0,4.145833333333333,3.5929096369954734,15,352.0,0.1028483447309974,15,352.0
1265.0,16,239.0,4.78,4.258244982391603,16,394.0,0.21731168771824597,16,394.0
1270.0,12,268.0,5.469387755102041,4.072751719730906,12,391.0,0.19733006112124196,12,391.0
1275.0,8,72.0,1.411764705882353,3.450827939454448,8,350.0,0.134629944394523,8,350.0
1280.0,13,60.0,1.2244897959183674,3.3776859163655932,13,261.0,0.13484269079008632,13,261.0
1285.0,15,84.0,1.68,3.1057056839263897,15,292.0,0.12218328583211198,15,292.0
1290.0,17,110.0,2.156862745098039,3.645673541684732,17,305.0,0.13874845843675862,17,305.0
1295.0,11,101.0,2.1041666666666665,3.9001749200316027,11,285.0,0.1428146034924592,11,285.0
1300.0,13,128.0,2.327272727272727,5.294700972338446,13,289.0,0.2717054028484098,13,289.0
1305.0,13,146.0,2.8627450980392157,4.778879002072108,13,314.0,0.25994230532817997,13,314.0
1310.0,16,176.0,3.259259259259259,4.005607702990412,16,315.0,0.1641895479948454,16,315.0
1315.0,14,76.0,1.4615384615384615,4.052110650922407,14,295.0,0.14689211029937743,14,295.0
1320.0,15,122.0,2.489795918367347,3.6019360481528913,15,277.0,0.11407310455877226,15,277.0
1325.0,17,165.0,3.36734693877551,3.3589714073877763,17,325.0,0.13582893060177806,17,325.0
1330.0,14,207.0,4.3125,3.9694390042390815,14,344.0,0.15791968512705226,14,344.0
1335.0,7,99.0,1.8333333333333333,5.024083338730235,7,306.0,0.2345138273913071,7,306.0
1340.0,11,118.0,2.3137254901960786,5.16784392915602,11,254.0,0.2602677670219475,11,254.0
1345.0,13,142.0,2.784313725490196,3.6424832064296915,13,284.0,0.16015625977038064,13,284.0
1350.0,15,181.0,3.4150943396226414,4.347652036540427,15,278.0,0.16150278523389797,15,278.0
1355.0,7,134.0,2.7346938775510203,3.799246011271174,7,252.0,0.1356477195789366,7,252.0
1360.0,15,191.0,4.0638297872340425,3.748383455739868,15,279.0,0.14314293977115747,15,279.0
1365.0,14,228.0,4.956521739130435,3.624913533899015,14,320.0,0.13279314482945775,14,320.0
1370.0,13,259.0,4.886792452830188,4.979912572630342,13,336.0,0.27229246419518816,13,336.0
1375.0,10,167.0,3.150943396226415,4.725238223752363,10,318.0,0.2474995257913347,10,318.0
1380.0,11,177.0,3.54,3.7302270751677646,11,285.0,0.18327400373123573,11,285.0
1385.0,16,201.0,3.8653846153846154,3.2874905035468247,16,307.0,0.12228165740995103,16,307.0
1390.0,17,233.0,4.568627450980392,3.6651471930300086,17,324.0,0.12104152928018494,17,324.0
1395.0,11,84.0,1.6470588235294117,4.041933955994806,11,221.0,0.15041131989023054,11,221.0
1400.0,17,148.0,3.020408163265306,3.6171251985492607,17,271.0,0.12647928730621322,17,271.0
1405.0,20,201.0,4.1875,3.215842659899936,20,334.0,0.1604668576401607,20,334.0
1410.0,16,235.0,4.607843137254902,4.232588467149328,16,364.0,0.21851588483246004,16,364.0
1415.0,10,164.0,3.0943396226415096,3.785898687062254,10,354.0,0.15377522024222856,10,354.0
1420.0,17,229.0,4.490196078431373,3.4554166355315354,17,368.0,0.1399690905675479,17,368.0
1425.0,19,280.0,5.6,3.1041240165106387,19,427.0,0.11458044311687153,19,427.0
1430.0,16,314.0,6.1568627450980395,3.438029886916682,16,441.0,0.1399677557625994,16,441.0
1435.0,10,110.0,2.156862745098039,3.348272420471191,10,398.0,0.13447665971462242,10,398.0
1440.0,12,75.0,1.5,3.611391799415448,12,294.0,0.12803253875203202,12,294.0
1445.0,14,89.0,1.6181818181818182,4.447652725071754,14,300.0,0.2307513113040872,14,300.0
1450.0,15,99.0,1.8,4.372685889810476,15,276.0,0.2044695653346868,15,276.0
1455.0,18,140.0,2.5454545454545454,4.5982556136780905,18,287.0,0.1499185666188859,18,287.0
1460.0,14,118.0,2.3137254901960786,4.088710926054242,14,299.0,0.17193363132528938,14,299.0
